S,SKU,fullName,requestedQuantityNew,totalRevenueNet,totalRevenueGrossSAR,jda122Price,priceDifference,source
10,1,Tomato 1 kg,2974,23171.33,,7.95,Not found in the first array,Beverages - Coffee.csv
79,6,Zuccini 1 kg,953,6752.65,,7.95,Not found in the first array,Beverages - Coffee.csv
9,7,Cucumber 1 kg,1824.5,10925.34,,6.95,Not found in the first array,Beverages - Coffee.csv
52,11,Big Eggplant 1 kg,711.5,4608.22,,6.95,Not found in the first array,Beverages - Coffee.csv
27,14,Carrot 1 kg,972.5,4609.77,,4.95,Not found in the first array,Beverages - Coffee.csv
48,18,Green Capsicum 1 kg,767,9366.88,,11.95,Not found in the first array,Beverages - Coffee.csv
33,66,Red Onion 1 kg,868,3353.44,,3.5,Not found in the first array,Beverages - Coffee.csv
83,80,Rajla 1 pc,560,721.95,,1.5,Not found in the first array,Beverages - Coffee.csv
34,88,Mulukhia Leaves 1 pc,856,1592.85,,1.95,Not found in the first array,Beverages - Coffee.csv
80,90,Sweet Melon 1 kg,564,1723.18,,5.95,Not found in the first array,Beverages - Coffee.csv
38,242,Strawberry Pack  ,797,3297.2,,11.95,Not found in the first array,Beverages - Coffee.csv
77,261,Orange Navel 1 kg,800.5,6858.06,,6.95,Not found in the first array,Beverages - Coffee.csv
9,307,Imported Banana 1 kg,4183,24076.41,,5.95,Not found in the first array,Beverages - Coffee.csv
91,421,Orange 1 kg,1331,6270.39,,6.95,Not found in the first array,Beverages - Coffee.csv
44,487,Big Lemon 1 kg,1760.55,9803.39,,6.95,Not found in the first array,Beverages - Coffee.csv
59,522,Long Lettuce 1 kg,1137,8046.36,,10.95,Not found in the first array,Beverages - Coffee.csv
46,631,Royal Gala Apple 1 kg,1232.5,9531.04,,9.95,Not found in the first array,Beverages - Coffee.csv
3,648,Parsley Leaves 1 pc,2770,3624.35,,1.5,Not found in the first array,Beverages - Coffee.csv
7,649,Green Coriander Leaves 1 pc,2036,2604.5,,1.5,Not found in the first array,Beverages - Coffee.csv
8,650,Mint Leaves 1 pc,1867,2431.45,,1.5,Not found in the first array,Beverages - Coffee.csv
62,652,Dill Leaves 1 pc,634,796.4,,1.5,Not found in the first array,Beverages - Coffee.csv
90,653,Habaq Leaves 1 pc,538,703.05,,1.5,Not found in the first array,Beverages - Coffee.csv
4,654,Rocket Leaves 1 pc,2680,3242.35,,1.5,Not found in the first array,Beverages - Coffee.csv
100,657,Red Radish Leaves 1 pc,499,644.7,,1.5,Not found in the first array,Beverages - Coffee.csv
40,733,Long Lettuce,161,1234.05,1246.95  SAR,7.95,Not found in the first array,Beverages - Coffee.csv
48,765,Cucumber 1 tray,731,3820,,11.95,Not found in the first array,Beverages - Coffee.csv
91,959,Spanish Round Lettuce 1 kg,537.5,3160.02,,11.95,Not found in the first array,Beverages - Coffee.csv
64,3078,Smoked Roast Turkey 1 kg,56.25,7448.84,,139.95,Not found in the first array,Beverages - Coffee.csv
26,4534,Salmon Fillet 1 kg,90.75,12072.09,,139.95,Not found in the first array,Beverages - Coffee.csv
11,5410,Parsley Leaves,279,407.55,,1.5,Not found in the first array,Beverages - Coffee.csv
13,5411,Coriander Leaves,264,386.1,,1.5,Not found in the first array,Beverages - Coffee.csv
15,5413,Green Mint,200,354.9,,1.5,Not found in the first array,Beverages - Coffee.csv
65,5414,Dill Leaves,93,134.15,,1.5,Not found in the first array,Beverages - Coffee.csv
17,5415,Rocket Leaves,193,279.15,,1.5,Not found in the first array,Beverages - Coffee.csv
32,7093,Veal Leg Boneless 1 kg,213,11268.6,,64.95,Not found in the first array,Beverages - Coffee.csv
11,7411,Brazilian Minced Beef 1 kg,836,21301.56,,37.95,Not found in the first array,Beverages - Coffee.csv
25,19475,Lurpak Unsalted Butter 400g,109,1534.62,1534.62  SAR,26.5,Not found in the first array,Beverages - Coffee.csv
39,19485,Sadia Frozen Chicken Half Breasts (Boneless, Skinless) 450g,106,1235.7,1235.70  SAR,15.95,Not found in the first array,Beverages - Coffee.csv
82,26745,Saudia Whole Milk 1L,78,468,,6.5,Not found in the first array,Beverages - Coffee.csv
78,29375,Doux French Griller Frozen Chicken 1300g,61,933.05,933.05  SAR,23.95,Not found in the first array,Beverages - Coffee.csv
67,32111,Indomie Special Chicken Flavour Instant Noodle 5*70g,89,618.55,,6.95,Not found in the first array,Beverages - Coffee.csv
88,34581,Puck Spreadable Cheese Analogue 2*500g,30,845.06,845.06  SAR,44.95,Not found in the first array,Beverages - Coffee.csv
100,38135,Creamy Peanut Butter 510 g,416,5854.15,,19.75,Not found in the first array,Beverages - Coffee.csv
40,38505,Light Tuna Meat in Sunflower Oil 185 g,783,5066.1,,8.95,Not found in the first array,Beverages - Coffee.csv
92,38951,Perrier Sparkling Water 6*200ml,37,824.15,824.15  SAR,29.95,Not found in the first array,Beverages - Coffee.csv
89,44011,Fried Instant Noodles 5*80 g,540,3601.35,,7.95,Not found in the first array,Beverages - Coffee.csv
43,60685,Al Walimah Indian Mazza Sella Basmati Rice Long Grain 5kg,30,1198.5,1198.50  SAR,52.5,Not found in the first array,Beverages - Coffee.csv
62,84065,Whipping Cream 1 L,317,7502.3,,35.95,Not found in the first array,Beverages - Coffee.csv
66,84104,Pepsi Carbonated Soft Drink 12*150ml,43,984,1032.00  SAR,24,Not found in the first array,Beverages - Coffee.csv
79,89295,Ferrero Rocher Chocolate 300g,27,916.65,916.65  SAR,48.95,Not found in the first array,Beverages - Coffee.csv
58,90375,Galaxy Flutes Chocolate Wafer Rolls 22.5g,96,144,,2,Not found in the first array,Beverages - Coffee.csv
26,96295,Nutella Cocoa Hazelnut Spread 750g,50,1492.5,1492.50  SAR,37.95,Not found in the first array,Beverages - Coffee.csv
32,106005,Sunwhite Calrose Rice Meduim Grain 5kg,39,1378.7,1414.65  SAR,42.25,Not found in the first array,Beverages - Coffee.csv
95,106313,Clorox Original 3.78L,44,818.5,879.00  SAR,23.5,Not found in the first array,Beverages - Coffee.csv
85,106755,Gold Instant Coffee 190 g,153,6493.7,,56.25,Not found in the first array,Beverages - Coffee.csv
80,199530,Almarai Full Fat Fresh Laban 2L,83,909.75,909.75  SAR,10.95,Not found in the first array,Beverages - Coffee.csv
7,199550,Almarai Full Cream Fresh Yoghurt 170g,342,684,,2,Not found in the first array,Beverages - Coffee.csv
41,199560,Almarai Low Fat Yoghurt 170g,114,228,,2,Not found in the first array,Beverages - Coffee.csv
83,199630,Almarai Full Fat Fresh Milk 1L,77,461.45,,6,Not found in the first array,Beverages - Coffee.csv
46,199640,Almarai Full Fat Fresh Milk 2L,109,1188,1199.00  SAR,11,Not found in the first array,Beverages - Coffee.csv
86,199670,Almarai Fresh Cream 100g,76,300,,4,Not found in the first array,Beverages - Coffee.csv
29,455152,Puck Spreadable Cheese Analogue 2*900g,48,1456.17,1456.17  SAR,61.95,Not found in the first array,Beverages - Coffee.csv
36,513525,Comfort Fabric Softener Spring Dew 3L,68,1316.2,1316.20  SAR,28.95,Not found in the first array,Beverages - Coffee.csv
57,528015,Frozen Molokheya 400 g,670,2374.3,,4.95,Not found in the first array,Beverages - Coffee.csv
58,529495,Abu Kaas Babaker Rice 5kg,28,1052.75,1052.75  SAR,42.5,Not found in the first array,Beverages - Coffee.csv
100,607115,Al-Shalan Mazza Basmati Rice 5kg,22,804.45,804.45  SAR,38.95,Not found in the first array,Beverages - Coffee.csv
