S#,SKU,Full Name,Requested Quantity New,Total Revenue Net ,Total Revenue Gross SAR,JDA 122 Price 13/07/2023
10,1,Tomato 1 kg,2974.00,"23,171.33",,7.95
79,6,Zuccini 1 kg,953.00,"6,752.65",,7.95
9,7,Cucumber 1 kg,1824.5,"10,925.34",,6.95
52,11,Big Eggplant 1 kg,711.5,"4,608.22",,6.95
27,14,Carrot 1 kg,972.5,"4,609.77",,4.95
48,18,Green Capsicum 1 kg,767.00,"9,366.88",,11.95
33,66,Red Onion 1 kg,868,"3,353.44",,3.5
83,80,Rajla 1 pc,560,721.95,,1.5
34,88,Mulukhia Leaves 1 pc,856,"1,592.85",,1.95
80,90,Sweet Melon 1 kg,564,"1,723.18",,5.95
38,242,Strawberry Pack  ,797,"3,297.20",,11.95
77,261,Orange Navel 1 kg,800.50,"6,858.06",,6.95
9,307,Imported Banana 1 kg,4183.00,"24,076.41",,5.95
91,421,Orange 1 kg,1331.00,"6,270.39",,6.95
44,487,Big Lemon 1 kg,1760.55,"9,803.39",,6.95
59,522,Long Lettuce 1 kg,1137.00,"8,046.36",,10.95
46,631,Royal Gala Apple 1 kg,1232.50,"9,531.04",,9.95
3,648,Parsley Leaves 1 pc,2770,"3,624.35",,1.5
7,649,Green Coriander Leaves 1 pc,2036,"2,604.50",,1.5
8,650,Mint Leaves 1 pc,1867,"2,431.45",,1.5
62,652,Dill Leaves 1 pc,634,796.40,,1.5
90,653,Habaq Leaves 1 pc,538,703.05,,1.5
4,654,Rocket Leaves 1 pc,2680,"3,242.35",,1.5
100,657,Red Radish Leaves 1 pc,499,644.70,,1.5
40,733,Long Lettuce,161.00,"1,234.05","1,246.95  SAR",7.95
48,765,Cucumber 1 tray,731,"3,820.00",,11.95
91,959,Spanish Round Lettuce 1 kg,537.5,"3,160.02",,11.95
64,3078,Smoked Roast Turkey 1 kg,56.25,"7,448.84",,139.95
26,4534,Salmon Fillet 1 kg,90.75,"12,072.09",,139.95
11,5410,Parsley Leaves,279.00,407.55,,1.5
13,5411,Coriander Leaves,264.00,386.10,,1.5
15,5413,Green Mint,200.00,354.90,,1.5
65,5414,Dill Leaves,93.00,134.15,,1.5
17,5415,Rocket Leaves,193.00,279.15,,1.5
32,7093,Veal Leg Boneless 1 kg,213.00,"11,268.60",,64.95
11,7411,Brazilian Minced Beef 1 kg,836.00,"21,301.56",,37.95
25,19475,Lurpak Unsalted Butter 400g,109.00,"1,534.62","1,534.62  SAR",26.5
39,19485,"Sadia Frozen Chicken Half Breasts (Boneless, Skinless) 450g",106.00,"1,235.70","1,235.70  SAR",15.95
