Product Name,Product Details,Price,Actual Price,Discount Percentage
Nescafe Classic Instant Coffee 190g,,27.95SAR,SAR29.95,6% OFF
Nescafe Classic Instant Coffee 50g,,10.50SAR,,
Davidoff Grande Fine Aroma Cafe 100g,,23.95SAR,SAR35.95,33% OFF
Nescafe Classic Instant Coffee 100g,,17.50SAR,,
Tora Bika Cappuccino Rich Foam Coffee With Extra Choco Granule 25g,,1.95SAR,,
Davidoff Grande Cuvee 57 Espresso Dark Roast Cafe 100g,,23.95SAR,SAR34.20,29% OFF
Davidoff Grande Cuvee Rich Aroma Cafe 100g,,23.95SAR,SAR35.95,33% OFF
Tchibo Gold Selection Coffee 100g,,19.95SAR,,
Davidoff Cream Instant Roasted Ground  Coffee 90g,,23.95SAR,SAR34.25,30% OFF
Tora Bika Cappuccino Coffee 25g 20,,34.95SAR,,
Nescafe Gold Coffee 190g,,46.95SAR,SAR54.95,14% OFF
"Thouq Arabic Coffee, Authentic Flavor, Easy Prepare 250g",,21.95SAR,,
Nescafe Gold Decaf Coffee 100g,,38.75SAR,,
Nescafe Gold Cappuccino Unsweetened Coffee Mix 14.2g,,3.95SAR,SAR4.95,20% OFF
Baja Instant Arabic Coffee Cardamon 30g,,5.25SAR,,
Nescafe Arabiana Instant Coffee With Cardamon 3g,,2.25SAR,SAR2.50,10% OFF
Nescafe Gold Cappuccino Unsweetened 14.2g× 10,,39.95SAR,SAR48.95,18% OFF
Nescafe Cappuccino Latte Coffee Mix Sachet 19g,,2.75SAR,,
Cofique Prive Colombia Coffee  12g X5,,24.50SAR,,
Nescafe Red Mug Coffee 190g,,41.95SAR,,
Nescafe Red Mug Coffee 95g,,24.95SAR,,
Dunkin Premium Iced Coffee Original 300ml,,9.45SAR,SAR9.95,5% OFF
Dunkin Iced Coffee 300ml Caramel,,9.45SAR,SAR9.95,5% OFF
Dunkin Iced Coffee 300ml Cappuccino,,9.45SAR,SAR9.95,5% OFF
Cofique Prive Costa Rica Coffee 12gx5,,24.50SAR,,
Cofique Iced Coffee Caramel 24g,,3.50SAR,,
Starbucks Frappuccino Coffee Drink 250ml,,8.95SAR,SAR11.75,23% OFF
Cofique Iced Coffee Mocha 24g,,3.85SAR,,
Starbucks Frappuccino Mocha Coffee Drink 250ml,,8.95SAR,SAR11.75,23% OFF
