Product Name,Product Details,Price,Actual Price,Discount Percentage
Pepsi 1L plastic bottle,,4.50SAR,SAR5.00,10% OFF
Coca-Cola original taste 2.2 L plastic bottle,,7.50SAR,,
Coca-Cola Regular Soft Drink 1L,,4.10SAR,SAR5.00,18% OFF
Pepsi Diet 1L plastic bottle,,4.50SAR,SAR5.00,10% OFF
Sprite Lemon And Lime Flavoured Carbonated Soft Drink 1L,,4.10SAR,SAR5.00,18% OFF
Coca-Cola 12 x150ml can,,22.95SAR,SAR25.95,11% OFF
Coca-Cola Light 150 ml ×12 can,,22.95SAR,SAR25.95,11% OFF
Coca-Cola original taste 320ml can,,2.50SAR,,
Pepsi 150ml ×12 cans,,21.75SAR,SAR24.00,9% OFF
Sprite pet 2.2l,,7.50SAR,,
Coca-Cola Zero 150ml x12 cans,,22.95SAR,SAR25.95,11% OFF
Coca-Cola Zero 2.2l Plastic Bottle,,7.50SAR,,
Sprite 150ml ×12 cans,,22.95SAR,SAR25.95,11% OFF
Coca-Cola Light 355ml ×12 can,,32.85SAR,SAR36.75,10% OFF
7up can 150ml x12,,21.75SAR,SAR24.00,9% OFF
Mountain Dew 1L,,4.50SAR,SAR5.00,10% OFF
Coca-Cola zero 355ml ×12 can,,32.85SAR,SAR36.75,10% OFF
Pepsi 325ml can,,2.50SAR,,
Coca-Cola Zero 355ml can,,3.00SAR,,
Barbican Pomegrnt Malt Beverage 250ml X 6,,11.50SAR,SAR14.95,23% OFF
Pepsi Diet mini 150ml ×12 cans,,21.75SAR,SAR24.00,9% OFF
Pepsi Max 1L,,4.75SAR,SAR5.00,5% OFF
Fanta orange 2.2 L,,7.50SAR,,
Fanta strawberry 1 L,,4.10SAR,SAR5.00,18% OFF
Pepsi Max Taste Can 320ml× 6,,15.50SAR,,
Pepsi 2.25L,,9.00SAR,,
Sprite 320ml x6 cans,,12.50SAR,SAR15.50,19% OFF
Barbican Strawberry Malt Beverage 250ml X 6,,11.50SAR,SAR14.50,20% OFF
Pepsi Max Can 320ml,,2.50SAR,,
Vimto Sparkling Fruit Flavoured Drink 250ml,,2.00SAR,,
Coca-Cola Light 355ml can,,3.00SAR,,
Coca Cola Light NRB 250ml x6,,15.95SAR,,
Fanta citrus pet 2.2l,,7.50SAR,,
7 UP 2.25 L,,9.00SAR,,
Coca-Cola 400 ml plastic bottle,,3.00SAR,,
Pepsi Max NRB Glass Bottles 250ml x6,,13.50SAR,SAR15.00,10% OFF
Coca-Cola Light soft drink 250 ml glass bottle,,2.50SAR,,
Barbican Classic Malt Beverage 250ml X 6,,11.50SAR,SAR14.50,20% OFF
Pepsi Diet Bottle 250ml,,2.55SAR,,
Pepsi Diet mini 150ml can,,2.00SAR,,
Vimto Fizzy Sparkling Fruit Flavored Drink 250ml ×6,,12.00SAR,,
Shani Carbonated Soft Drink 355ml,,2.75SAR,,
Fanta orange 320ml x6 cans,,12.50SAR,SAR15.50,19% OFF
Coca-Cola soft drink 250 ml glass bottle,,2.50SAR,,
Pepsi 500ml plastic bottle,,3.00SAR,,
7Up Soft Drink Bottle 250ml,,2.55SAR,,
Coca Cola Light Soft Drink 150ml,,2.20SAR,,
Mirinda orange soft drink 325 ml,,2.50SAR,,
Vimto Sparkling Raspberry Flavoured Drink 250ml,,2.00SAR,,
Barbican Malt Beverage Pomegranate Flavor 250ml,,2.50SAR,,
Fanta strawberry 320ml x6 cans,,12.50SAR,SAR15.50,19% OFF
Coca-Cola Original Taste 320ml ×24 Can,,59.95SAR,,
Barbican Malt Beverage Strawberry Flavor 250ml,,2.50SAR,,
Coca Cola Zero NRB 250ml x6,,15.95SAR,,
Sprite Regular Soft Drink 150ml,,2.20SAR,,
Shani NRB 250mlx6,,13.75SAR,SAR15.50,11% OFF
Fanta strawberry 2.2L,,7.50SAR,,
Pepsi Soft Drink Bottle 250ml,,2.55SAR,,
Barbican Malt Beverage Apple Flavor 250ml,,2.50SAR,,
Shani can 150 ml x 12,,21.75SAR,SAR24.00,9% OFF
Mirinda Green Apple Carbonated Soft Drink 355ml,,2.75SAR,,
Mirinda citrus 2.25 L,,9.00SAR,,
Moussy Malt Beverage Classic 330ml Pack of 6,,33.95SAR,,
Mirinda apple 1 L,,4.75SAR,SAR5.00,5% OFF
Mirinda Soft Drink Orange Bottle 250ml,,2.55SAR,,
Coca Cola Soft Drink Bottle 250ml×24,,55.95SAR,SAR60.95,8% OFF
Red Bull Energy Drink 250ml,,10.95SAR,,
Mountain dew can 325ml,,2.50SAR,,
Fanta Citrus 320ml x6 cans,,12.50SAR,SAR15.50,19% OFF
"7UP Glass Bottle, Sugar Free 250ml x6",,13.75SAR,SAR15.50,11% OFF
Mirinda strawberry can 355ml,,2.75SAR,,
Gatorade Sports Drink Cool Blue Raspberry Flavour 495ml,,6.00SAR,,
Pepsi 355ml x18 cans,,49.40SAR,,
Sprite Soft Drink Bottle 250ml,,2.50SAR,,
Barbican Raspberry Flavoured Non-Alcoholic Malt Beverage 330ml Pack of 6,,30.00SAR,,
Barbican Pomegranate Malt Beverage 330ml X 6,,30.00SAR,,
Mirinda orange can 355ml,,2.75SAR,,
Barbican Malt Beverage Beer Bottle 330ml x6,,30.00SAR,,
Moussy Malt Beverage Lemon Mint Flavour 330ml X 6,,32.95SAR,,
Moussy Apple Flavour Non-Alcoholic Malt Beverage 330ml Pack of 6,,32.95SAR,,
