Product Name,Product Details,Price,Actual Price,Discount Percentage
Vimto Fruit Cordial Syrup 710ml,,16.95SAR,,
Vimto Fruit Flavoured Drink With Sports Cap 250ml Pack of 6,,11.95SAR,,
Almarai 100% Apple Juice 1.4L,,8.95SAR,,
Fresh Pineapple Slices Pack,,11.50SAR,,
Sunquick Concentrated Orange Drink 700ml,,20.95SAR,,
Almarai 100% Orange Juice 1.4L,,12.55SAR,,
Tono Fruit Cordial 710ml,,16.50SAR,,
Almarai Mixed Fruit Mango Juice 1.4L,,8.95SAR,,
Almarai Mixed Berry Juice 1.4L,,12.55SAR,,
Almarai Mango And Grape Juice 1.4L,,12.55SAR,,
Danao Peach And Apricot 180ml ×5 +1 Free,,8.95SAR,SAR9.95,10% OFF
Almarai Mixed Fruit Juice 1.4L,,8.95SAR,,
Danao 180ml X 6 Multipack 5 Vitamins,,8.95SAR,SAR9.95,10% OFF
Danao Juice With Milk Orange Banana Strawberry 180ml ×5 + 1 Free,,8.95SAR,SAR9.95,10% OFF
Almarai No Added Sugar Mixed Fruit Juice 200ml,,2.00SAR,,
Almarai 100% Orange With Pulp Juice 1.4L,,12.55SAR,,
Almarai Mixed Fruit Lemon Juice 1.4L,,8.95SAR,,
Al Safi Orange Juice 1.5L,,8.95SAR,SAR12.20,26% OFF
Almarai No Added Sugar Mixed Fruit Mango Juice 200ml,,2.00SAR,,
Almarai No Added Sugar Mixed Berry Juice 200ml,,2.00SAR,,
Almarai No Added Sugar Kids Apple Juice 180ml,,2.00SAR,,
Almarai Farms Select Pomegranate Juice 1L,,16.50SAR,,
Al Safi Apple Juice 1.5L,,8.95SAR,SAR12.20,26% OFF
Almarai No Added Sugar Mango & Grape Juice 200ml,,2.00SAR,,
Almarai Super Juice Pineapple 1L,,16.50SAR,,
Nada Fresh Juice Mango 1.34L,,8.50SAR,,
Dole Pineapple Juice 250ml Pack of 4,,9.95SAR,SAR11.50,13% OFF
Almarai No Added Sugar Mixed Fruit Lemon Juice 200ml,,2.00SAR,,
Almarai mixed fruit & pomegranate juice 1.4 L,,8.95SAR,,
Nada fresh juice pomegranate,,8.50SAR,,
Almarai Mixed Fruit Guava Juice 1.4L,,12.55SAR,,
Nada Fresh Juice Pineapple 1.34l,,8.50SAR,,
Ocean Spray Cranberry And Raspberry Juice 1L,,16.95SAR,,
Nada fresh juice raspberry 1.34L,,8.50SAR,,
Alsafi Mango Juice 180ml,,2.00SAR,,
KDD Pinapple Juice 1L,,8.25SAR,,
KDD Apple Juice 1L,,6.95SAR,,
Nadec Premium 100% Apple Juice 1.5L,,8.95SAR,,
Almarai Andalusian Orange Juice 1L,,13.95SAR,,
"Tono Mixed Fruits And Berries Concentrated Drink, No Added Sugar 710ml",,16.95SAR,,
Nada Fresh Juice Lemon Mint 1.34L,,8.50SAR,,
Alsafi Lemon Juice 1.5L,,8.95SAR,SAR12.20,26% OFF
Almarai No Added Sugar Kids Orange Juice 180ml,,2.00SAR,,
Almarai Mixed Fruit Pineapple Orange And Grape Juice 1.4L,,12.55SAR,,
"Almarai Farm’s Select Beetroot, Orange And Apple Juice 1L",,16.50SAR,,
Vimto Fruit Flavor Drink 250ml,,2.00SAR,,
Rani Mango Fruit Drink 1.5L,,7.00SAR,,
Nadec 100% Orange Juice 1.5L,,8.95SAR,,
Vimto Blueberry Pet 250ml,,2.00SAR,,
Alsafi Mixed Fruits Juice  1.5L,,8.95SAR,SAR12.20,26% OFF
Rani Apple Fruit Drink 1.5L,,7.00SAR,,
Harvest Coconut Water 330ml,,4.45SAR,,
Suntop Berry Mix 18 125ml,,17.95SAR,,
Dole Pineapple Juice 1.36L,,9.95SAR,,
Almarai No Added Sugar Kids Mixed Fruit Juice 180ml,,2.00SAR,,
Alsafi Strawberry Juice  1.5l,,8.95SAR,SAR12.20,26% OFF
Original Drink Mix Fruit 1.4 L,,7.95SAR,,
Rani Fruit Cocktail 100% Cocktail Drink 1.5L,,7.00SAR,,
Vimto Pet Blueberry 250ml X6,,11.95SAR,,
Harvest Coconut Water 500ml,,6.95SAR,,
KDD Orange Juice 1L,,6.95SAR,,
Nada Fresh Juice Apple 1.34L,,8.50SAR,,
Harvest Coconut Water 1L,,14.95SAR,,
Almarai Mixed Fruit Juice Romaine 200ml,,2.00SAR,,
Almarai Farms Select Grapes Berries Juice 1L,,16.50SAR,,
Nada Fresh Juice Orange 1.34L,,8.50SAR,,
Nadec Mango With Mix Fruit Nectar 1.5L,,8.95SAR,,
Nadec Lemon Mint With Fruit Mix Nectar 1.5L,,8.95SAR,,
KDD Mango Nectar 1L,,6.95SAR,,
KDD Red Grape Juice 1L,,7.95SAR,,
Tropicana Frutz Lemon Mint Cocktail Flavored Fruit Drink 300ml,,3.00SAR,,
Suntop Berry Mix Fruit Drink 125ml,,1.00SAR,,
Almarai No Added Sugar Pineapple Orange And Grape Juice 200ml,,2.00SAR,,
Almarai Premium No Added Sugar Apple Juice 300ml,,3.00SAR,,
Nadec Berry Cocktail Nectar 1.5L,,8.95SAR,,
Nada Beetroot Juice No Sugar Added With Blackcurrant 320ml,,4.00SAR,,
Vimto Cordial 710mlx12s,,199.95SAR,,
Alrabie Apple Juice 1L,,5.50SAR,SAR6.95,20% OFF
Nadec No Added Sugar Strawberry With Mix Fruit Nectar 1.5L,,8.95SAR,,
Rani Orange Carrot Pet Juice 1.5L,,7.00SAR,,
Ocean Spray Cranberry & Blackcurrant Juice Drink 1L,,16.95SAR,,
Tropicana Frutz Apple Cockatiel Flavored Fruit Drink 300ml,,3.00SAR,,
Nada Fresh Juice Guava 1.34l,,8.50SAR,,
Almarai Mixed Fruit Orange Carrot Juice 1.4L,,12.55SAR,,
Danao Orange Mango Juice Milk 180ml ×6,,9.95SAR,,
Vimto Strawberry Drink 250ml Pack of 6,,11.95SAR,,
Suntop Berry Mix Drink 250ml,,2.00SAR,,
KDD Fruit Drink Cocktail 1L,,6.95SAR,,
Nadec No Added Sugar Mix Fruit Nectar 1.5L,,8.95SAR,,
Ocean Spray Cranberry Classic Juice Drink 1L,,16.95SAR,,
Tropicana Frutz Apple Cockatiel Flavored Fruit Drink 300ml X 6 Pieces,,17.95SAR,,
Rani Pineapple Fruit Drink 1.5L,,7.00SAR,,
Dole Pineapple And Orange Juice 250ml Pack of 4,,9.95SAR,SAR11.50,13% OFF
Tropicana Frutz Lemon Mint Cocktail Flavored Fruit Drink 300ml X 6 Pieces,,17.95SAR,,
Celsius Peach Vibe 355ml,,9.95SAR,,
Alsafi Apple Juice 180ml,,2.00SAR,,
Al Rabie Orange Juice 1L,,5.50SAR,SAR6.95,20% OFF
Almarai Farms Select Super Pineapple Juice 250ml,,5.50SAR,,
Nadec Kiwi Lime Mint With Mix Fruit Nectar 1.5L,,8.95SAR,,
Nada Beetroot Juice No Sugar Added With Raspberry 320ml,,4.00SAR,,
Celsius Green Tea Rspbry Acai 355ml,,9.95SAR,,
Tropicana Frutz Pomegranate Cocktail Flavored Fruit Drink 300ml,,3.00SAR,,
Celsius Peach Mango Green Tea 355ml,,9.95SAR,,
Florida Natural Lemonade 900ml,,7.00SAR,SAR7.95,11% OFF
Freixenetlegero Grape White Alcohol Free250ml,,12.25SAR,SAR19.95,38% OFF
Tono Concentrated Mango Drink 710ml,,16.95SAR,,
Rauch Juice Red Grape 900ml,,17.50SAR,,
"Caesar 0% Suger , Lemom Mint & Fruit 1L",,7.50SAR,,
Alrabie Juice Tamarind & Date 1l,,8.75SAR,,
Tropicana Frutz Mango And Peach Cocktail Soft Drink 300ml,,3.00SAR,,
Tropicana Frutz Pomeg Cocktail 300ml X 6,,17.95SAR,,
Danya Redgrape Juice 1L,,11.95SAR,,
Rani Guava Fruit Drink  1.5L,,7.00SAR,,
Rauch Apple Nectar 900ml,,20.50SAR,,
Sunquick Orange 700ml× 6,,115.95SAR,,
Alsafi Orange Juice 180ml,,2.05SAR,,
Vimto Strawberry Drink 250ml,,2.00SAR,,
Dole Jaya Pineapple Passion Fruit And Carrot Juice 250ml Pack of 4,,12.75SAR,,
Carrefour No Added Sugar Mixed Fruit Juice 200ml Pack of 10,,16.95SAR,,
Ocean Spray Cranberry Classic Light Juice 1L,,16.95SAR,,
Nadec Lemon Mint & Fruit Mix Nectar 200ml,,2.00SAR,,
Caesar pineapple 250 ml,,3.00SAR,,
Nada Mango Juice 200ml,,2.00SAR,,
KDD Juice Apple 1L x Pack of 4,,28.95SAR,,
Almarai Premium No Added Sugar Orange Juice 300ml,,3.00SAR,,
Nadec 100% Orange Juice 200ml,,2.00SAR,,
Nadec Mango With Fruit Mix Nectar 200ml,,2.00SAR,,
Almarai tropicl mix fruit juice 1.4L,,8.95SAR,,
Tropicana Frutz Black Currant Cocktail Flavored Fruit Drink 300ml,,3.00SAR,,
Nadec Berry & Mixed Fruit Nectar 200ml,,2.00SAR,,
Almarai Andalusian Orange Juice 250ml,,4.50SAR,,
Alrabie Mango Nectar 1L,,9.95SAR,,
Almarai Farms Select Super Pomegranate Juice 250ml,,5.50SAR,,
Caesar no added sugar mixed fruit juice 1 L,,7.50SAR,,
Nadec Guava With Mix Fruit Nectar 1.5L,,8.95SAR,,
"Caesar 0% Suger ,guava& Fruit Mix 1L",,7.50SAR,,
Dole Jaya Pineapple And Mango Juice 250ml Pack of 4,,12.75SAR,,
Rani Float Pineapple Can No Added Sugar 100% Fruit Juice 240ml,,1.75SAR,,
Carrefour No Added Sugar Apple Juice 200ml Pack of 10,,16.95SAR,,
Nada fresh juice strawberry 1.34L,,8.50SAR,,
Nada Mango Juice 300ml,,3.00SAR,,
Dole Jaya Pineapple And Banana Juice 250ml Pack of 4,,12.75SAR,,
"Tono Mixed Orange Concentrated Drink, No Added Sugar 710ml",,16.95SAR,,
Almarai No Added Sugar Mixed Fruit Juice 300ml,,3.00SAR,,
Rani Float Peach Fruit Drink with Real Fruit Pieces 240ml,,2.00SAR,,
Kdd Pineapple Juice 1L x4,,32.50SAR,,
Vimto Fruit Flavored Drink 250ml× 9,,18.00SAR,,
Vimto Sparkling Soft Drink 330ml,,3.00SAR,,
KDD Guava Nectar Juice 1L,,6.95SAR,,
Carrefour Orange Juice 200ml Pack of 10,,16.95SAR,,
Celsius Sparkling Orange 355ml,,9.95SAR,,
Florida's Natural Orange And Pineapple Juice 1.6L,,15.95SAR,SAR19.95,20% OFF
Almarai No Added Sugar Mango & Grape Juice 300ml,,3.00SAR,,
Danao Orange Banana & Strawberry Juice Milk 180ml,,2.00SAR,,
Alrabie Fruit Cocktail Nectar Juice 1L,,9.95SAR,,
Suntop Berry Mix 250ml X 18 Pieces,,31.95SAR,SAR36.00,11% OFF
Rauch Apple Juice Can 355ml,,6.25SAR,,
Tropicana Fruitz Mango 300ml X 6,,17.95SAR,,
Nada Pineapple Juice 200ml,,2.00SAR,,
Nadec 100% Apple Juice 200ml,,2.00SAR,,
Nadec Mixed Fruit Nectar 200ml,,2.00SAR,,
Alrabie Juice Grape 200ml ×18,,34.50SAR,,
Nadec No Added Sugar Mix Fruit Nectar With 8 Vitamins 1.5L,,8.95SAR,,
Danao 5 Vitamins Juice Milk 180ml,,2.00SAR,,
Almarai No Added Sugar Mixed Fruit Lemon Juice 300ml,,3.00SAR,,
Rani Float Mango Can No Added Sugar 100% Fruit Juice 240ml,,2.00SAR,,
Almarai No Added Sugar Orange Juice With Pulp 300ml,,3.00SAR,,
Caesar Juice Lemon Mint And Fruit Mix No Sugar 250ml,,3.00SAR,,
Nada pomegranate juice 200 ml,,2.00SAR,,
Almarai No Added Sugar Mixed Fruit Mango Juice 300ml,,3.00SAR,,
Nadec Pineapple With Mix Fruit Nectar 1.5L,,8.95SAR,,
Carrefour 100% Orange Juice 200ml,,1.75SAR,,
Nadec No Added Sugar Orange & Carrot With Mix Fruit Nectar 1.5L,,8.95SAR,,
Rani 100% 3 Jewels 240ml,,2.00SAR,,
Carrefour 100% Mixed Fruit Juice 200ml,,1.75SAR,,
Rani Float Orange Can No Added Sugar 100% Fruit Juice 240ml,,2.00SAR,,
Nadec Orange Carrots & Mix Fruits Nectar 200ml,,2.00SAR,,
Nada Beetroot & Raspberry Juice 1.35l,,14.50SAR,,
Nada Beet Root & Black Currant Juice 1.35l,,14.50SAR,,
Carrefour 100% Apple Juice 200ml,,1.75SAR,,
Nada raspberry juice 200 ml,,2.00SAR,,
Almarai Mixed Fruit And Pomegranate Juice 300ml,,3.00SAR,,
Rani Three Jewels No Added Sugar 180ml X 6,,10.50SAR,,
Danao Orange & Mango Drink 180ml,,2.00SAR,,
Nada Apple Juice 200ml,,2.00SAR,,
Al Marai Super Grapes And Berries Juice 250ml,,5.50SAR,,
Rani Mango Fruit Juice Non-Returnable Bottle 200ml,,1.95SAR,,
Remedy Organic Kombucha Tea With Passionfruit Flavor 330ml,,25.50SAR,,
Nada Fresh Juice Tropical 1.34l,,8.50SAR,,
Almarai No Sugar Added Orange Carrot Juice 300ml,,3.00SAR,,
Bel Normande Sparkling White Grape Juice 750ml,,29.95SAR,,
Nada strawberry juice 200 ml,,2.00SAR,,
Lussory Premium Red Merlot 750ml,,55.95SAR,,
Alrabie Juicegrape 200ml,,2.00SAR,,
Florida's Natural Pineapple Juice 1.6L,,15.95SAR,SAR19.95,20% OFF
Caesar red apple 250 ml,,3.00SAR,,
Carrefour 100% Apple Orange Juice 200ml,,1.75SAR,,
Caesar 0%sugar guava&fruit 250ml,,3.00SAR,,
Remedy Organic Kombucha Tea With Peach Flavor 330ml,,25.50SAR,,
Almarai No Added Sugar Pineapple Orange And Grape Juice 300ml,,3.00SAR,,
Caesar 0%sugar fruit mix 250ml,,3.00SAR,,
Nada Orange Juice 200ml,,2.00SAR,,
Nada Pineapple Juice 300ml,,3.00SAR,,
RAUCH SPKL JUICE APPLE 250ML,,5.50SAR,,
KDD Orange Juice 1L x4,,28.95SAR,,
Alrabie Cranberry & Pomegr 330ml,,2.95SAR,,
Mixa 5G Sparkling Drink 250ml,,2.25SAR,,
Nada Raspberry Juice 300ml,,3.00SAR,,
Rauch Sparkling Peach Juice Bottle 250ml,,5.50SAR,,
Lussory Premium Rose Merlot 750ml,,55.95SAR,,
Nada pomegranate juice 300 ml,,3.00SAR,,
Marai Refresh Orange And Mango Drink 400ml,,3.00SAR,,
