Product Name,Product Details,Price,Actual Price,Discount Percentage
Almarai Appel Juice 100% 140ml X 18,,18.00SAR,,
Suntop Orange Juice 125ml Pack of 18,,17.25SAR,,
"Almarai Mango and Grape Juice 100 %, 140ml X 18",,18.00SAR,,
Almarai Orange Juice 100% 140ml X 18,,18.00SAR,,
Almarai Juice 100% Mixed Fruit 140ml X 18,,18.00SAR,,
Almarai Apple Juice 100% 140ml,,1.00SAR,,
"Almarai Mango & Grape Juice 100 %, 140ml",,1.00SAR,,
Almarai Orange Juice 100% 140ml,,1.00SAR,,
KDD Juice Mango Nectar 180ml,,1.75SAR,,
Sun Top Orange Juice 125ml,,1.00SAR,,
Almarai No Sugar Added Mixed Fruit Juice 140ml,,1.00SAR,,
Sun Cola 125ml× 18 Pieces,,17.95SAR,,
Sun Top Sun Cola Juice Tetra 125ml,,1.00SAR,,
Kdd Mini Apple Juice 125ml,,1.30SAR,,
Suntop Orange 250ml,,2.00SAR,,
Kdd Mini Apple Juice 125ml x 18 Pieces,,16.95SAR,SAR24.35,30% OFF
Capri Sun Drink Orange 200ml ×10 Pieces,,15.95SAR,,
Kdd Cherry Drink 180ml,,1.75SAR,,
KDD Juice Guava Nectar 180ml,,2.00SAR,,
Capri Sun Mango Drink 200ml ×10 Pieces,,15.95SAR,,
Original Zero Sugar Apple 200ml,,1.50SAR,,
Alrabie Nectar Multifruits +Vit 120,,1.00SAR,,
Suntop Drink Orange 250ml x 18,,31.95SAR,SAR36.00,11% OFF
Alrabie Long Life Juice Berry Mix Drink 120ml,,1.00SAR,,
Vimto Fruit Flavoured Drink 250ml,,2.00SAR,,
Alrabie Long Life Juice Apple Nectar 120ml,,1.00SAR,,
Al Rabie Mango Juice 200ml,,2.00SAR,,
Suntop Mango Grape No Added Sugar 125ml,,1.00SAR,,
Alrabie Berry Mix Drink 125ml,,1.00SAR,,
Alrabie Apple Drink 250ml,,2.00SAR,,
Suntop Mixed Fruits No Added Sugar 125ml,,1.00SAR,,
Alrabie Juice Berry Mix Prisma 200ml,,2.00SAR,,
Original Zero Sugar Orange 200ml,,1.50SAR,,
Sun Cola Zero 330ml,,3.00SAR,,
Original Mango Drink 250ml,,1.75SAR,,
Suntop Orange 330ml,,3.00SAR,,
Suncola Cola Drink 330ml,,3.00SAR,,
"Original Zero sugar 100% Mango Nectar With Fruit Mix, 200ml",,1.50SAR,,
Suntop Grape Guava Strawberry No Added Sugar 125ml,,1.00SAR,,
Original Apple Drink 250ml,,1.75SAR,,
Suntop Berry Mix Fruit Drink 180ml,,1.75SAR,,
Original Raspberry Drink 250ml,,1.75SAR,,
Alrabie Mango Drink 250ml,,2.00SAR,,
Suntop Grape Apple Nas 125ml,,1.00SAR,,
Suntop Berry Mix 330ml,,3.00SAR,,
Alrabie Cola 125ml x 20 + 1 Free,,20.00SAR,,
Original Mixed Fruit Drink 250ml,,1.75SAR,,
Original Mango Drink 250ml X 18,,34.95SAR,,
Alrabie Drink Lime&Kiwi Premium 200,,2.00SAR,,
Nada Danyah Orange Juice 200ml,,1.15SAR,,
Sun Cola Original 250ml X18+Gift,,36.00SAR,,
Suntop Mango & Grape 180ml,,1.75SAR,,
Suntop Orange & Peach 180ml,,1.75SAR,,
Original Rasberry Drink 250ml X 18,,34.95SAR,,
Original Mix Fruit Junior 125ml,,1.10SAR,,
Original Mixed Fruit Drink 250ml X 18,,34.95SAR,,
Suntop Red Apple & Grape 180ml,,1.75SAR,,
Al Rabie Fruit Cocktail Nectar 330ml,,3.25SAR,,
Original Drink Orange 250ml,,1.75SAR,,
Captain Raspberry Drinks 250ml,,2.50SAR,,
Suntop Mixed Fruits 180ml,,1.75SAR,,
Original Junior Orange Drink 125ml,,1.25SAR,,
Alrabie Pineapple Juice 330ml,,2.95SAR,,
Al Rabie Apple Juice 330ml,,2.95SAR,,
Alrabie Cola 250ml X29 +1free,,58.00SAR,,
Suntop Berry Mi×330ml ×18,,54.00SAR,,
Suntop Mixed Fruits 180m X18+Gift,,31.50SAR,,
Suntop Orange 330ml ×18,,54.00SAR,,
