Product Name,Product Details,Price,Actual Price,Discount Percentage
"Tang Orange Flavoured Powder Drink 2kg Tub, Makes 16L",,67.95SAR,,
"Tang Orange Flavoured Powder Drink 375g Pouch, Makes 3L",,13.75SAR,SAR15.50,11% OFF
"Tang Lemon Flavoured Powder Drink 375g Pouch, Makes 3L",,13.75SAR,SAR15.50,11% OFF
"Tang Mango Flavoured Powder Drink 2kg Tub, Makes 16L",,67.95SAR,,
"Tang Mango Flavoured Powder Drink 375g Pouch, Makes 3L",,13.75SAR,SAR15.50,11% OFF
"Tang Lemon Flavoured Powder Drink 2kg Tub, Makes 16L",,67.95SAR,,
Nesquik cocoa milk drink 500g,,45.25SAR,,
Nestle nesquik chocolate flavour milkshake mix 300gram,,23.50SAR,,
"Tang Tropical Fruits Flavoured Powder Drink 2kg Tub, Makes 16L",,67.95SAR,,
"Tang Pineapple Flavoured Powder Drink 2kg Tub, Makes 16L",,67.95SAR,,
"Tang Tropical Fruits Flavoured Powder Drink 375g Pouch, Makes 3L",,13.75SAR,SAR15.50,11% OFF
Natureland Cacao Powder low Fat 250g,,52.25SAR,,
