Product Name,Product Details,Price,Actual Price,Discount Percentage
Lipton Ice Tea Peach Can 315ml ×6 Pieces,,16.25SAR,,
Al Kbous Tea 2g ×100 Bags,,15.50SAR,,
Rabea Express Tea 100 Bags,,17.45SAR,,
Rabea Extra Strong Teabags 2g Pack of 100,,13.40SAR,SAR14.25,5% OFF
Ahmad Tea - 24x100T agged tb English Breakfast ++ 3 Herbal Tea Bags Free,,16.15SAR,SAR17.50,7% OFF
Brooke Bond Red Label Black Tea 100 Bags,,12.95SAR,SAR17.25,24% OFF
Lipton Ice Tea Peach Can 315ml,,2.75SAR,,
Lipton Yellow Label Tea Bags 100 Bags,,24.90SAR,,
Baja Red Tea 100 Pieces,,12.50SAR,,
Rabea Express Loose Tea 400g,,13.50SAR,SAR15.95,15% OFF
Rabea Premium Blend Tea Bag 2g ×100 Bags,,18.95SAR,,
Lipton Alahmar Strong Taste Black Tea 100 Teabags,,13.00SAR,,
Rabea Tea Pure Natural Green Tea 100 Tea Bags,,20.45SAR,,
Lipton Tea 400g,,21.75SAR,SAR23.95,9% OFF
Rabea Mint Green Tea Bag 1.8g× 100,,20.45SAR,,
AlMarai Ice Tea Peach & Hibiscus 400ml,,3.75SAR,,
Al Kbous Tea Fine Black Tea 227g,,9.30SAR,,
Ahmad Tea -24x100 Tagged Teabag English Tea No.1,,18.95SAR,SAR23.10,17% OFF
Lipton Red Fruits Ice Tea 315ml,,2.75SAR,,
AlMarai Ice Tea Green & Mint 400ml,,3.75SAR,,
AlMarai Ice Tea Lemon & Elderflower 400ml,,3.75SAR,,
Ahmad Tea -  12x100 Tagged tb Green Tea  + 3 Herbal Tea Bags Free,,16.15SAR,SAR17.50,7% OFF
Ahmad Tea - 24x100 Tagged tb English Tea No 1 + 3 Herbal Tea Bags Free,,16.15SAR,SAR17.50,7% OFF
Alkbous Tea 2g ×25 Bags,,5.25SAR,,
Al Kbous Tea Fine Black Tea 454g,,17.95SAR,,
Habkat Tea Bags 2gx 100,,10.50SAR,SAR12.75,17% OFF
Lipton Red Fruits Ice Tea 315ml  ×6 Pieces,,16.25SAR,,
Rabea Full Leaf Loose Tea 1 Kg,,44.75SAR,,
Lipton Yellow Label Loose Tea 200g,,12.50SAR,,
Abu Jabal Authentic Tea 200g,,21.95SAR,,
Ahmad Tea - 24x100 Tagged Teabag English Breakfast,,17.25SAR,SAR19.75,12% OFF
Baja Extra Strong Tea 100 Tea Bag,,12.95SAR,,
Wadi Alnahil Anise Tea 2g ×30 Pieces,,15.45SAR,,
Rabea Green Tea With Ginger 1.6g ×10,,20.45SAR,,
Lipton Ice Tea Lemon 310ml ×6,,15.00SAR,SAR17.50,14% OFF
Rabea Premium Full Leaf Tea 400g,,19.35SAR,SAR21.75,11% OFF
Tea Break Chai Karak Instant Tea 25g× 8 Bage,,18.65SAR,,
Abu Jabal Full Leaf Tea 75 Bags,,28.95SAR,,
Lipton Green Clear Tea Bag ×100 Bags,,28.45SAR,SAR32.95,13% OFF
Rabea Anise Herbal 2g ×20,,10.45SAR,,
Rabea Green Tea Moroccan1.8g ×100,,20.45SAR,,
Rabea Green Mint Tea Bags 1.8g ×25,,5.75SAR,,
Lipton Tea Bags 25 Bag,,8.25SAR,,
Lipton Mint Green Tea 100 Bags,,28.45SAR,SAR32.95,13% OFF
Rabea Extra Strong Tea Bags 2g ×25,,5.00SAR,,
Lipton Lemon Green Tea 2g ×25 Bags,,14.95SAR,,
Ahmad Tea- T12x100 agged Teabag Mint Green Tea,,17.25SAR,SAR19.75,12% OFF
Ahmad Tea -6 x20 AluFoil-Enveloped Tea Bags  Strawberry Sensation,,13.25SAR,,
Alattar Shamia Flowers Tea Bag 20 Bags,,7.95SAR,SAR12.45,36% OFF
Tea Break Chai Karak 25g,,2.50SAR,,
Wadi Alnahil Hibiscus Tea 2g ×30 Pieces,,15.45SAR,,
AL ATTAR ANISEED TEA 20BAGS,,7.95SAR,SAR12.45,36% OFF
Wadi Alnahil Cinnamon 2g ×30 Pieces,,15.45SAR,,
Red Label Tea Loose - 400g,,22.50SAR,,
ALATTAR CHAMOMILE TEA BAG 20+4 FREE,,7.95SAR,SAR12.45,36% OFF
Lipton Herbal Infusion Tea Bags Immunity Supporting Ingredients Lemon & Ginger Naturally Caffeinated 20 Tea Bags,,20.95SAR,,
Rabea Green Tea Withlemon 1.6g× 10,,20.45SAR,,
Rabea Express Loose Tea 800g,,30.95SAR,,
Emoji Karak Tea With Cardamom 12 Piece,,30.45SAR,,
Ahmad Tea- 6 x20 AluFoil Teabag Peach & Passion Fruit,,13.25SAR,,
Alattar Ginger Lemon Tea Bag 24 Bags,,7.95SAR,SAR12.45,36% OFF
Ahmad Tea - 12x100 Tagged Teabag Green Tea,,17.25SAR,SAR19.75,12% OFF
Alattar Chamomile And Anise Tea Bag 20+4 Free,,7.95SAR,SAR12.45,36% OFF
Al Attar Wild Thyme Tea 20 Bags,,7.95SAR,SAR12.45,36% OFF
Twinings Green Tea & Forest Fruits 1.5g ×25 Bags,,28.95SAR,,
Ahmad Tea -6 x20 AluFoil-Enveloped Tea Bags Blackcurrant Burst,,13.25SAR,,
Ahmad Tea-6 x20 AluFoil-Enveloped Tea Bags Earl Grey,,9.25SAR,,
Nai Ice Tea Peach 250ml,,5.75SAR,,
Baja Red Tea 25 Pieces,,4.15SAR,SAR4.50,7% OFF
Ahmad Tea London - Digest Sweet Mint & Fennel 20 Tea Bags,,12.40SAR,SAR14.25,12% OFF
Al Attar Hibiscus Tea Bag 20 x1.8g,,7.95SAR,SAR12.45,36% OFF
"Alitea Classic 3in1 ,20g ×20+5 Free",,33.50SAR,,
Carrefour Premium Blend Black Tea Bag 400g,,14.95SAR,,
Ahmad Tea - 12x100g Tins - Earl Grey,,16.15SAR,SAR17.50,7% OFF
Al Attar Pomegranate Tea 20 x 1.8g,,7.95SAR,SAR12.45,36% OFF
Lipton Ice Tea Peach Zero Sugar 310ml,,3.00SAR,,
Ahmad Tea - 24x100 Tagged Teabag Cardamom Tea,,17.25SAR,SAR19.75,12% OFF
Rabea Natural Green Tea Bags Pack of 25,,5.95SAR,,
Rabea Express Tea Bags Pack of 25,,5.00SAR,,
Rabea Green Tea With Ginger 1.6g ×25,,5.75SAR,,
Twinings Green Tea & Mint 100 Tea Bags,,72.95SAR,,
Lipton Herbal Infusion Tea Hibiscus 20 Teabags,,20.95SAR,,
Lipton Herbal Infusion Tea  Mint  20 Tea Bags,,20.95SAR,,
Alattar Cumin Lemon Tea Bag 20 Bags,,7.95SAR,SAR13.95,43% OFF
Dilmah Tea Earl Grey 25 Tea Bags,,14.75SAR,,
Nai Ice Tea Ginger 250ml,,5.75SAR,,
Ahmad Tea -6 x20 AluFoil-EnvelopedTeabag  Cinnamon Haze,,9.25SAR,,
Twinings Chamomile Honey & Vanilla Herbal Tea 1.5g ×20 Bags,,33.45SAR,,
Dilmah Tea English Breakfast 25 Tea Bags,,14.75SAR,,
