Product Name,Product Details,Price,Actual Price,Discount Percentage
Nova Water 330ml ×40,,22.50SAR,,
Tania Water 330ml ×40,,21.50SAR,,
Aquafina Bottled Drinking Water 330ml ×30,,11.00SAR,SAR13.05,15% OFF
Safa Makkah Water 330ml ×40,,18.75SAR,SAR20.95,10% OFF
Oska Water 330ml ×40,,11.95SAR,SAR18.50,35% OFF
Oska Water 200ml ×48,,11.95SAR,SAR18.50,35% OFF
Arwa Water 330ml ×40,,20.95SAR,,
Berain Bottled Drinking Water 200ml ×24,,12.00SAR,,
Hilwa Water 200ml ×40,,19.75SAR,,
Nova Water 200ml ×24,,9.50SAR,SAR13.20,28% OFF
Nestle Purelife Water 330ml ×40,,22.50SAR,,
Tania Low Sodium Water 1.5L ×6,,8.95SAR,,
Safa Makkah Water 200ml ×24,,11.45SAR,SAR12.95,11% OFF
Ival Water 330ml ×40,,21.50SAR,,
Berain Bottled Drinking Water 330ml ×40,,23.45SAR,,
Ival Water 200ml ×48,,21.50SAR,,
Tania Water 200ml ×40,,17.75SAR,,
Hilwa Water 330ml ×40,,17.00SAR,SAR19.50,12% OFF
Arwa Water Zero Sodium 330ml ×24,,13.10SAR,SAR15.25,14% OFF
Berain Bottled Drinking Water 200ml ×48,,23.80SAR,,
Aquafina spark water can 250ml x6,,9.50SAR,,
Nova Water 550ml ×6,,4.30SAR,SAR4.95,13% OFF
Nova water 330ml ×12,,6.00SAR,SAR6.95,13% OFF
Tania Water 200ml x24,,10.50SAR,,
Berain Water 330ml ×24,,14.50SAR,,
Aquafina Drinking Water 500ml ×12,,8.25SAR,,
Perrier Sparkling Mineral Water 330ml Pack of 4,,21.50SAR,,
Safa Makkah Water 5l,,4.30SAR,,
Hilwa Water 330ml ×20,,9.75SAR,,
Aquafina Water 500ml ×24,,16.50SAR,,
Arwa Water Zero Sodium 1.5l,,2.25SAR,,
Nova Bottled Water 330ml,,0.60SAR,,
Oska - Water 330ml X20,,5.75SAR,,
Berain Water 12L,,9.95SAR,,
Novaglass Water Bottle 250ml,,2.25SAR,,
Safa Makkah Water 200ml,,21.95SAR,,
Perrier Natural Sparkling Mineral Water 750ml,,9.95SAR,,
Souroti sparkling mineral water 750 ml,,6.95SAR,,
Nova sparkling glass water 750ml,,6.50SAR,,
Berain Bottled Drinking Water 330ml ×12,,7.50SAR,,
Nova Water Sports Bottle 700ml ×6,,17.95SAR,,
Arwa Bottled Drinking Water Zero Sodium 500ml,,1.20SAR,,
Berain sparkling glass 750 ml,,4.75SAR,,
Nova Bottled Water 550ml,,1.00SAR,,
Berain Water 330ml,,0.60SAR,,
Nova water 200 ml,,0.55SAR,,
Aquafina Bottled Drinking Water 330ml,,0.60SAR,,
Tania water 330ml ×20,,10.50SAR,,
Perrier Natural Sparkling Mineral Water Lemon Glass Bottle 200ml x6,,43.95SAR,,
Aquafina Mineral Water Low Sodium 500ml,,1.10SAR,,
Arwa Water 200ml ×48,,23.75SAR,,
Nova sparkling glass water 250ml,,3.25SAR,,
Nova Bottled Water 1.5L,,2.50SAR,,
Berain Water 600ml,,1.10SAR,,
Ival Water 200ml,,0.45SAR,,
Safa Makkah Water 200ml,,0.50SAR,,
Nova water sports bottel 700 ml,,3.05SAR,,
Arwa Drinking Water 500ml,,1.05SAR,,
San Benedetto Sparkling Water 750ml,,10.50SAR,,
Evian Prestige Mineral Water 500ml x24,,182.50SAR,,
Arwa Bottled Drinking Water 330ml,,0.60SAR,,
Perrier Natural Sparkling Mineral Water 330ml,,5.50SAR,,
