Product Name,Product Details,Price,Actual Price,Discount Percentage
Sony Playstation 5 + Extra White Controller + FIFA 23 PS5,,"2,950.00SAR","SAR3,590.00",17% OFF
"Gaming Headset, RZE-G902H, Blue",,199.00SAR,,
Sony PlayStation 5 Console (Disc Version) With Extra Controller And Spider-Man: Miles Morales,,"2,890.00SAR","SAR3,700.00",21% OFF
Sony PlayStation 5 Digital Edition,,"2,440.00SAR","SAR3,200.00",23% OFF
"Sony PlayStation 5 Disc Console Standard Edition Bundle With Extra Dualsense Controller, White",,"2,777.00SAR","SAR3,199.00",13% OFF
Sony Playstation 5 - Sony PS5,,"2,499.00SAR","SAR2,999.00",16% OFF
Sony PlayStation 5 CD Edition Console + Midnight Black DualSense Wireless Controller + 3D Wireless Gaming Headset For PlayStation 5,,"2,990.00SAR","SAR3,398.00",12% OFF
Sony PS5 Game Deathloop,,259.00SAR,,
Sony PlayStation 5 With DualSense Wireless Controller Bundle,,"2,790.00SAR","SAR3,597.00",22% OFF
Sony PlayStation 5 Console (KSA Version),,"2,525.00SAR","SAR2,899.00",12% OFF
Fifa 23 - PlayStation 5 By Electronic Arts,,289.00SAR,SAR330.00,12% OFF
"Datazone Gaming Desk 140cm, Professional RGB Gaming Table, Carbon Fiber Waterproof Surface, Cup Holder, Headphone Hook And Power Management Box, Gamepad Holder And Mouse Pad Black, Gt-351RGB",,645.00SAR,,
"EqiEch Classic Retro Game Console With Dual 2.4G Wireless Controllers, Game Consoles For 4K TV, Video Game Console Built-In 64GB TF Card 10000 Classic Games, Plug & Play HDMI Compatible",,160.00SAR,SAR299.00,46% OFF
Datazone mouse pad gaming,,39.00SAR,,
Sony PlayStation 5 With FIFA 22 (KSA Version),,"2,799.00SAR","SAR2,999.00",6% OFF
Sony Playstation 5 DualSense Wireless Controller,,333.00SAR,SAR399.00,16% OFF
Sony PlayStation 5 Console With Wireless Controller And Gran Turismo 7 Standard Edition PS5 Combo Set,,"3,222.00SAR","SAR3,999.00",19% OFF
Sony PlayStation 5 Console With 3 DualSense Controllers,,"3,070.00SAR","SAR4,270.00",28% OFF
ViewSonic gaming headphone VA300P,,159.00SAR,,
"Sony PlayStation 5, With God Of War Ragnarok Bundle",,"2,650.00SAR",,
"Generic DMG 4K HD Video Game Console, Dual 2.4G Wireless Controllers, Plug-And-Play Video Game Stick, Built-In 10,000 Games, Retro Handheld Game Console",,165.00SAR,SAR250.00,34% OFF
Sony PlayStation 5 Digital Edition With Pulse 3D Wireless Headset - Midnight Black & PlayStation5 HD Camera,,"3,199.00SAR","SAR3,699.00",13% OFF
Sony PlayStation 5 Console With Spiderman: Miles Morales,,"2,777.00SAR","SAR3,199.00",13% OFF
Sony PlayStation 5 Console (Disc Version) With Extra Controller And FIFA 22 (KSA Version),,"3,199.00SAR","SAR4,599.00",30% OFF
Sony PlayStation 5 CD Edition Console + Midnight Black DualSense Wireless Controller + FIFA 2022,,"2,930.00SAR","SAR4,370.00",32% OFF
Sony PlayStation 5 Console (Disc Version) With Call Of Duty - Cold War (NMC),,"2,799.00SAR","SAR2,999.00",6% OFF
Fifa 22 - Playstation 5 (KSA Version) By Electronic Arts,,230.00SAR,SAR370.00,37% OFF
Sony PlayStation 5 Console Disc Version With Far Cry 6 Standard Edition,,"2,750.00SAR","SAR3,970.00",30% OFF
"Sony Playstation Dualsense Wireless Controller, Midnight Black",,321.00SAR,SAR550.00,41% OFF
Datazone Gaming Chair With Adjustable Height And Comfort Design,,739.00SAR,SAR885.00,16% OFF
JBL Over-Ear Wired Gaming Headphones For PS4/PS5/Xone/Xseries/NSwitch/PC,,699.00SAR,,
"Laap Dualshock 4 Wireless Gaming Controller For Playstation, Green Camouflage Army Camo",,320.00SAR,SAR597.00,46% OFF
Sony PlayStation 5 Disc Console (KSA Version) With PS5 Horizon Forbidden West Bundle,,"2,750.00SAR","SAR3,220.00",14% OFF
Lego Worlds Gcam - Playstation 4 (PS4) By Warner Bros,,109.00SAR,,
"Sony Playstation 5 Disc Console, KSA Version, With PS5 Horizon Forbidden West DLC",,"3,400.00SAR",,
Sony PlayStation 5 Console Disc Version With PS5 Uncharted Legacy Of Thieves Collection,,"2,888.00SAR","SAR3,199.00",9% OFF
Sony PlayStation 5 Console (Disc Version) With Gran Turismo 7 And Horizon Forbidden West,,"2,850.00SAR","SAR3,700.00",22% OFF
