Product Name,Product Details,Price,Actual Price,Discount Percentage
Nikai NBTS30 Portable Speaker System With Bluetooth And Fm-Radio Black,,99.00SAR,SAR169.00,41% OFF
Nikai NSB10 2.0 Channel Bluetooth Sound Bar Speaker Black,,109.00SAR,SAR199.00,45% OFF
ITL YZ920 Bluetooth Karaoke Microphone With Speaker Gold,,45.00SAR,SAR59.00,23% OFF
DLC Bluetooth Portable Radio 32216B Brown/Gold/Black,,66.00SAR,SAR129.00,48% OFF
Humax Receiver F1 Mini Pro,,139.00SAR,SAR179.00,22% OFF
Nikai trolley bluetooth speaker,,349.00SAR,SAR479.00,27% OFF
Nikai NHT2100BT 2.1 Channel Home Theater System Black 3500W,,109.00SAR,SAR199.00,45% OFF
ITL 2.1 Channel Home Theater System,,99.00SAR,SAR169.00,41% OFF
portable spkr nbts100 30w nikai,,249.00SAR,SAR329.00,24% OFF
Nikai NBTS60 Bluetooth Speaker Black,,149.00SAR,SAR199.00,25% OFF
"DLC Portable Bluetooth Speaker, Black/Red",,48.00SAR,SAR129.00,62% OFF
Sony HT-S20R Sound Bar 5.1Ch 400W Black,,999.00SAR,,
SKYWORTH M2 HD Satellite Receiver,,179.00SAR,SAR249.00,28% OFF
Nikai NKDJS1200 DJ Speaker 10inch,,449.00SAR,SAR599.00,25% OFF
Sony HT-S100F Sound Bar 120W,,349.00SAR,SAR529.00,34% OFF
ITL YZ-BT581 Bluetooth Speaker Grey,,55.00SAR,SAR69.00,20% OFF
"Olsenmark Rechargeable Party Trolley Speaker With Usb, Sd Card, Fm, Mic, Bluetooth & Remote - Led Light Ball & Tweeter And Cover With Lights - One Guitar Input - Karaoke Function, 2 Years Warranty",,379.00SAR,SAR454.80,16% OFF
"Nikai speaker trolley, NTROY12401",,219.00SAR,SAR269.00,18% OFF
Humax GOBX M Series Digital Satellite Receiver,,199.00SAR,SAR299.00,33% OFF
"Krypton Portable Rechargeable Speaker With Wireless Mic, Knms5392, BT/Tf/USB/FM/Aux/SD Card Inputs - Karaoke Speaker, Bluetooth 4.2, 2 Years Warranty",,138.00SAR,SAR165.60,16% OFF
JBL Flip 6 Bluetooth Speaker - Black,,449.00SAR,SAR699.00,35% OFF
Xiaomi Mi Android 9.0 Tv Stick Black,,186.00SAR,SAR210.00,11% OFF
"Geepas Radio Cassette Recorder With USB/Sd/MP3/Bt, GCR13011, 4 Band High Sensitivity Radio, Multiple Recording Function, Built-In Microphone, Folding Carry Handle",,218.00SAR,SAR261.60,16% OFF
JBL Pulse 4 Portable Speaker Black,,"1,049.00SAR",,
"Olsenmark Rechargeable Radio -Portable Music Player, Excellent Sound Quality, Bluetooth Speaker, Lightweight Portable Fm Radio, 4 Band Radio Bt/Usb/Sd/Tf, Stylish Retro Design, 2 Years Warranty",,88.00SAR,SAR105.60,16% OFF
"Geepas Trolley Bluetooth Speaker with Microphone, USB, GMS8568, Black",,347.00SAR,SAR416.40,16% OFF
Sony party speaker MCH-V13,,949.00SAR,,
JBL BOOMBOX 3 BT WATERPROOF SPKR,,"1,899.00SAR","SAR2,299.00",17% OFF
"TCL Sound Bar Wireless Subwoofer, 200W (S522W)",,499.00SAR,,
DLC Portable Bluetooth Radio Dlc-32215B Red/Black,,80.00SAR,SAR100.00,20% OFF
JBL PORTABLE PARTYBOX 310EU BLACK,,"1,899.00SAR","SAR2,599.00",26% OFF
Skyworth SK-S212WLY 2.1 60W Wireless Soundbar,,399.00SAR,"SAR1,599.00",75% OFF
JBL CINEMA WL S.BAR&WOOFER SB170,,749.00SAR,SAR999.00,25% OFF
JBL CHARGE 5 PORT BT SPEAKER BLUE,,649.00SAR,SAR869.00,25% OFF
"Geepas Rechargeable Radio With Bluetooth, 3-Band Radio, GR13015, AUX Input, Rechargeable Battery, Ac/Dc Operation, BT/ FM/ MP3/ USB/ Tf Card",,146.00SAR,SAR175.20,16% OFF
JBL Charge 5 Port Bluetooth Speaker Pink,,649.00SAR,SAR869.00,25% OFF
"Krypton Rechargeable Portable Speaker - Comfortable Handle, USB, FM, Mic, Bluetooth & Remote, LED Disco Light, 1800 mAh Battery, Party Speaker, Ideal For Indoor & Outdoors",,94.00SAR,SAR112.80,16% OFF
