Product Name,Product Details,Price,Actual Price,Discount Percentage
My Choice YZ-M398 Optical Mouse,,15.00SAR,,
Lenovo Notebook 14CEL-N4020,,"1,499.00SAR",,
"Acer Notebook 15.6"", Celeron Processor, N4500, 128GB SSD, 4GB RAM, Windows 11",,899.00SAR,"SAR1,399.00",35% OFF
Lenovo notebook 14ci5-1135g7256ssd8gbw11,,"2,849.00SAR",,
Lenovo Notebook 11inch 2in1 CN4020 128GB Internal Memory 4GB RAM,,"1,699.00SAR",,
"Lenovo 100 Wireless Combo Keyboard Mouse, English/Arabic Letters",,99.00SAR,,
"HP cartridge black, 123, F6V17AE",,85.00SAR,,
SanDisk 100MB/s Ultra Micro SDXC 64GB Memory Card,,56.00SAR,,
Lenovo notebook 14ci3-1115g4 128ssd 4gb,,"1,799.00SAR",,
"Apple MacBook Air Laptop, 13 inch, M1 Chip, 7-core GPU, 256GB SSD Storage, 8GB RAM, Space Gray",,"4,769.00SAR",,
Giordano backpack10,,155.00SAR,,
Giordano Backpack 40cm,,149.00SAR,,
"Acer Notebook 15.6"" Core i5 ,1135g7, 8GB RAM 512 GB SSD Windows11",,"2,499.00SAR","SAR3,199.00",21% OFF
Lenovo i3-1005G1 4GB RAM 1TB Hard Drive Without Windows Notebook 15.6inch Blue,,"2,199.00SAR",,
SanDisk Cruzer Blade USB 2.0 128GB Flash Drive Black,,76.00SAR,,
HP DeskJet 2320 printer all in one,,199.00SAR,,
"Acer Notebook 15.6"", Core I3, 1115G4, 128GB SSD, Windows 11",,"1,449.00SAR","SAR1,799.00",19% OFF
"Canon PIXMA 3 in 1, copy and scan printer, MG2540, Black",,179.00SAR,,
"HP DeskJet 2710 Printer, All-in-One - Wireless, Print, Copy & Scan, White",,249.00SAR,,
HP 2320 Deskjet Printer,,189.00SAR,,
Canon inkjet cartridge PG-445 black,,79.00SAR,,
Sandisk micro sd ultra 256gb 100mbs,,139.00SAR,,
Canon inkjet cartridge CL-446 color,,89.00SAR,,
"Lenovo Notebook IdeaPad, 14Inch, CEL-N4020, 128GB SSD, 4GB RAM",,"1,899.00SAR",,
Sandisk USB Flash Drive d/drive type-c 128gb,,99.00SAR,,
"HP 652 Inkjet Cartridge, black color, F6V25AE",,88.00SAR,,
"Apple MacBook Air With 13-Inch Display, M1 Chip With 8-Core Processor And 7-Core Graphics/8GB RAM/256GB SSD/English Arabic Keyboard/Mac OS English/Arabic Gold",,"5,199.00SAR",,
Lenovo 15.6 inch Laptop Casual Toploader T210 B,,89.00SAR,,
"Sandisk USB flash drive, type-c, 64 GB",,55.00SAR,,
"Acer Aspire 3 A315-56-5947 Laptop With 15.6 Inch Display, Core i5 Processor/4GB RAM/1Tb HDD/Dos/Intel UHD Graphics Shale Black English/Arabic, Shale Black",,"1,900.00SAR","SAR2,200.00",13% OFF
"Apple MacBook Air Laptop, 13 inch, M1 Chip, 8-core GPU, 512GB SSD Storage, 8GB RAM, Gold",,"6,299.00SAR","SAR6,680.00",5% OFF
Canon pixma ts5340 printer,,369.00SAR,,
"Acer Aspire 3 A315-57G-75Lc Laptop With 15.6-Inch Display, Core i7 Processor/4GB RAM/1TB HDD/2GB Nvidia Geforce Mx330 Graphic Card English Charcoal, Black",,"2,690.00SAR","SAR3,000.00",10% OFF
HP Ink Advantage 3790 All-in-One Multi-function Machine (Copy/Print/Scan),,399.00SAR,,
"Hp 652 Ink Advantage Cartridge, Tri-Color - F6V24Ae",,96.00SAR,,
Sandisk micro sd ultra 32gb 80mbs,,50.00SAR,,
Lenovo notebook 14 ic fci3-1115g4 256ssd,,"2,799.00SAR",,
"Apple MacBook Pro With Touch Bar And Touch ID, 13-Inch Display, Core i5, 8th Generation,1.4 GHZ Quad Core Processor/8GB RAM/256GB SSD/Intel Iris Plus, English/Arabic Keyboard-2020 Silver",,"6,299.00SAR","SAR7,000.00",10% OFF
LDNIO 6 USB Ports Power Strip With 3 Ac Sockets And 6 USB Port Sc3604 Black,,58.00SAR,SAR88.00,34% OFF
Western Digital 1TB Elements SE Portable SSD,,679.00SAR,,
Huawie Mifi - E5576 - Black,,260.00SAR,,
Toshiba HDTP210EK3AA Canvio Ready External USB 3.0 Hard Drive 1TB Black 2.5inch,,235.00SAR,,
"Huawei B311 2020, Cat 4, 4G/ Lte 150 Mbps Mobile Wi-Fi Router, Unlocked To All Networks- Genuine Uk Warranty Stock (Non Network Logo)- White",,350.00SAR,,
HP 122 Cartridge Ink Black,,65.00SAR,,
"Apple MacBook Air 13.6-Inch Display, Apple M2 Chip With 8-Core CPU And 8-Core GPU, 256GB SSD, Intel UHD Graphics, English/Arabic, Starlight",,"5,199.00SAR","SAR5,799.00",10% OFF
Sandisk USB Flash Drive d/drive type-c 32gb,,37.00SAR,,
HP Cat 6 Ethernet Cable 1.5m,,19.00SAR,,
"Generic Edatalife USB 2.0 Printer Cable 1.5m, Male To Male, Data Transmission Cable, Compatible With Printers- Dl - Printer",,20.00SAR,,
"Apple MacBook Pro (2021) With 14-Inch Liquid Retina XDR Display, M1 Pro Chip With 10‑Core CPU And 16‑Core GPU/16GB RAM/1TB SSD/English-Arabic Keyboard Space Grey",,"12,999.00SAR",,
"Apple MacBook Air 13.6-Inch Display, Apple M2 Chip With 8-Core CPU And 8-Core GPU, 256GB SSD, Intel UHD Graphics, English/Arabic, Silver",,"4,999.00SAR","SAR5,799.00",13% OFF
"Apple Magic Keyboard For iPad Pro 11-Inch (4th Generation) And iPad Air (5th Generation), Arabic/English, Black",,"1,399.00SAR","SAR1,549.00",9% OFF
Canon Ink Cartridge CL-461XL 3728C001AA - 461 XL (Colors),,129.00SAR,,
Xiaomi Mi Router 4c Wifi,,89.00SAR,,
"Apple MacBook Pro 2023 With 14-Inch, Liquid Retina XDR Display, Apple M2 Pro Chip With 12 Core CPU And 19 Core GPU, 16GB RAM, 1TB SSD, Integrated Graphics, English/Arabic, Space Grey",,"12,499.00SAR","SAR13,799.00",9% OFF
KIOXIA TransMemory U301 Type A USB 3.2 128GB Flash Drive White 1 Piece,,99.00SAR,,
Hp Deskjet Printer All in One 4828,,619.00SAR,,
"Apple MacBook Air 13.6-Inch Display, Apple M2 Chip With 8-Core CPU And 10-Core GPU, 512GB SSD, Intel UHD Graphics, English/Arabic, Starlight",,"7,099.00SAR",,
Canon inkjet cartridge pg-440 black,,79.00SAR,,
Viewsonic VA2406-H,,699.00SAR,,
Xiaomi Mi Router 4a Wifi,,129.00SAR,,
Canon inkjet cartridge cl-441 color,,95.00SAR,,
Promate slim wireless keyboard & mouse,,89.00SAR,,
"Apple MacBook Pro 13-Inch, M2 Chip With 8-Core CPU And 10-Core GPU, 256GB SSD, Integrated Graphics, English/Arabic, Space Grey - Middle East Version",,"5,499.00SAR","SAR5,999.00",8% OFF
Canon Ink Cartridge PG-460XL 3710C001AA - 460 XL (Black),,149.00SAR,,
Canon Cartridge PG-460 3711C001AA Black,,99.00SAR,,
Canon pixma g3420 mfp printer,,869.00SAR,,
Huawei wifi ax3 d.core router,,299.00SAR,,
"ViewSonic VA2223-H 22-inch Full HD Ergonomic Monitor With VGA, HDMI, Eye Care For Work And Study At Home",,649.00SAR,,
Western Digital 2TB My Passport USB 3.2 Portable External Hard Drive Black,,380.00SAR,,
