Product Name,Product Details,Price,Actual Price,Discount Percentage
"Samsung 8Kg Front Load Washing Machine, 2020 Series, LED Panel, DIT, WW80T4020CX/YL, Inox, 2 Years Warranty (Installation Not Included)",,"1,999.00SAR","SAR4,149.00",51% OFF
Nikai NRF170D19 Refrigerator White 132L,,799.00SAR,SAR999.00,20% OFF
"Dansat Twin Tub Washing Machine 7 Kg, DWT8021LW, White (Installation Not Included)",,530.00SAR,SAR679.00,21% OFF
"Dansat Single Door Refrigerator, DNFS140R20, Installation Not Included",,539.00SAR,SAR599.00,10% OFF
"Midea Dishwasher, 12 Place Setting, 7 Programs, Silver Color, Min 2 Yrs Warranty (Installation Not Included)",,"1,219.00SAR","SAR1,299.00",6% OFF
"Konka 243 Liters Double Door Refrigerator With Automatic Defrost System, KRFS320ST, 2 Years Warranty (Installation Not Included)",,"2,399.00SAR","SAR3,799.00",36% OFF
"Dansat Twin Tub Washing Machine 5 Kg, White, DW050DW (Installation Not Included)",,485.00SAR,SAR590.00,17% OFF
"Samsung 440L Double Door Twin Cooling Refrigerator With Top Mount Freezer, RT43K6300WW, White (Installation Not Included)",,"2,599.00SAR","SAR5,199.00",50% OFF
"Super General, Washing machine top load, 7kg, KSGW724",,899.00SAR,"SAR1,099.00",18% OFF
"Samsung 602L Three Door Refrigerator, 2 Years Warranty (Installation Not Included)",,"6,199.00SAR","SAR12,399.00",50% OFF
"Admiral 9Kg Twin Tub Semi-Automatic Washing Machine With Wash Storm, ADTT9KUWCQ, 2 Years Warranty (Installation Not Included)",,699.00SAR,"SAR1,999.00",65% OFF
"Konka 426 Liters Refrigerator With 4 Doors, KRFS554SC, 2 Years Warranty (Installation Not Included)",,"2,399.00SAR","SAR6,999.00",65% OFF
"White Westinghouse 10Kg Front Load Washing Machine, With Inverter, Model No WWFL9VS10 (Installation Not Included)",,"1,999.00SAR","SAR2,599.00",23% OFF
"Arrow Twin Tub Washing Machine, 3.5 Kg, White, RO-05KTM (Installation Not Included)",,410.00SAR,SAR550.00,25% OFF
"Arrow Chest Freezer, 100 Ltr, RO-160F (Installation Not Included)",,737.00SAR,SAR890.00,17% OFF
"Arrow Double Door Refrigerator, 8.9 Cu.Ft, 252 Ltr, RO2-390L, Defrost, White (Installation Not Included)",,"1,220.00SAR","SAR1,399.00",12% OFF
"Admiral 1.6 Cubic Feet Single Door Compact Refrigerator, ADSD50MWQ, 2 Years Warranty (Installation Not Included)",,399.00SAR,SAR999.00,60% OFF
Haas Fridge 1door 46 Ltrs Hrc71s,,440.00SAR,,
"Panasonic 12 Kg, Front Load Washing Machine, Model No, NA-S128M2LSA, Installation Not Included",,"3,199.00SAR","SAR7,399.00",56% OFF
Nikai NRF110NS7 Fridge 92L,,399.00SAR,SAR699.00,42% OFF
"Admiral 11Kg Top Load Washing Machine With Fuzzy Logic, ADTW12XUSCQ, 2 Years Warranty (Installation Not Included)",,"1,399.00SAR","SAR2,999.00",53% OFF
"Hisense Twin Top Washing Machine, 9 Kg, WSBE901, With 2 Years Warranty (Installation Not Included)",,599.00SAR,"SAR1,399.00",57% OFF
"Nikai, mini bar fridge 39 liter, NRF65NS7",,349.00SAR,SAR549.00,36% OFF
"Admiral 14Kg Twin Tub Semi-Automatic Washing Machine With Wash Storm, ADTT14KUWCQ, 2 Years Warranty (Installation Not Included)",,"1,199.00SAR","SAR2,599.00",53% OFF
"White Westinghouse 150 Litres Single Door Minibar Refrigerator, No WWMR9KS150 (Installation Not Included)",,955.00SAR,"SAR1,059.00",9% OFF
"Arrow Top Loading Semi Automatic Washing Machine 4.5 Kg, White, RO-06TTB (Installation Not Included)",,499.00SAR,SAR699.00,28% OFF
Clikon CK607-N Top Load Manual Mini Washing Machine 2.5kg,,299.00SAR,,
"White-Westinghouse 150 Litres Single Door Minibar Refrigerator, WWMR9KS150 (Installation Not Included)",,955.00SAR,"SAR1,099.00",13% OFF
"Hisense 144 Liter Chest Freezer, D Class (Installation Not Included)",,949.00SAR,"SAR1,999.00",52% OFF
"Arrow 93 Liter Single Door Refrigerator, RO1-139L (Installation Not Included)",,590.00SAR,SAR799.00,26% OFF
"Hisense Front Loading Washing Machine, 9 Kg, WF1V941BS, Inverter Technology, With 2 Years Warranty (Installation Not Included)",,"1,499.00SAR","SAR2,999.00",50% OFF
"Admiral Front Load Automatic Washing Machine, 8 Kg Capacity, White (Installation Not Included)",,"1,499.00SAR","SAR2,999.00",50% OFF
"White-Westinghoaee Single Door Refrigerator, Mixed Materials, 42 Litre, Silver, Wwmr9Ks46",,489.00SAR,SAR700.00,30% OFF
"Samsung 10Kg Top Loading Washing Machine, Digital Inverter Technology, Wobble Technology, WA10B5251WW/YL, White, 2 Years Warranty (Installation Not Included)",,"2,099.00SAR","SAR4,399.00",52% OFF
Nikai NCF150N20 Chest Freezer With Lock and Key White 100L,,699.00SAR,SAR849.00,17% OFF
"GVC Pro Washing Machine Twin Tub, 10Kg, GVCWM-100 (Installation Not Included)",,725.00SAR,SAR837.00,13% OFF
