Product Name,Product Details,Price,Actual Price,Discount Percentage
Nikai Electric Kettle 1.7L 2200W - Black/Red,,39.00SAR,SAR69.00,43% OFF
Moulinex LM2B2127 Electric Blender With Grinder 450W,,109.00SAR,SAR199.00,45% OFF
"Tefal Easy Fry Delux, Digital Oil-Less Air Fryer 4.2L EY401840",,749.00SAR,,
Moulinex FP247127 Easy Force Food Processor 800W 1.8L White,,263.00SAR,SAR320.00,17% OFF
Nikai 4 In 1 Electric Food Processor Blender White 300W 1.6L,,119.00SAR,SAR175.00,32% OFF
Nikai NK323G Glass Kettle 1.7L,,87.00SAR,SAR120.00,27% OFF
"Philips blender, 450W, 1.9L, white, HR2041/10",,135.00SAR,SAR165.60,18% OFF
"Mychoice Rice Cooker, 1L, 400 F- 1RCS",,109.00SAR,,
"Philips Air Fryer 0.8kg, 4.1L Capacity, Black, HD9200/90",,338.00SAR,SAR400.00,15% OFF
"Philips full size food processor 16 function, 700W, HR7310, White",,388.00SAR,SAR450.00,13% OFF
ITL YZ266S Stainless Steel Kettle Silver 1.7L,,79.00SAR,,
Nikai Blender White 300W 1.5L,,79.00SAR,SAR109.00,27% OFF
Moulinex AF-203127 Deep Fryer 1470W 1kg White,,269.99SAR,SAR307.00,12% OFF
Nikai NCM1210 Coffee Maker 10-12 Cups Black,,69.00SAR,SAR99.00,30% OFF
First1 mini chopper 300w fch-182,,85.00SAR,SAR119.00,28% OFF
Daewoo Salad Maker 150W DFP-450,,169.00SAR,,
"Geepas Steam Iron, Blue Color - Gsi7783",,55.50SAR,SAR66.60,16% OFF
"Philips coffee maker, HD7432/2",,199.00SAR,,
MyChoice Hand Blender 300W - MHB847,,75.00SAR,SAR99.00,24% OFF
"Geepas Meat Grinder, Electric Aluminium Gearbox, 2000W, GMG7463, Metal Cutting Plates, Accessories, Metal Gears, Stainless Steel Blade, 1Kg Capacity, Reverse Function",,179.00SAR,SAR319.00,43% OFF
Russell hobbs 2.2l rice cooker,,169.00SAR,,
Daewoo 2 slice toaster dawdst-6569,,119.00SAR,,
"Black+Decker Coffee Machine, 650W, 360ml Travel Mug, Black - DCT10-B5",,115.00SAR,SAR199.00,42% OFF
MyChoice Sandwich Maker 700W - FSW178,,55.00SAR,SAR79.00,30% OFF
Kenwood blender 500w blp15.150 - white,,169.00SAR,SAR255.00,33% OFF
"Moulinex countertop blenders, 400 W - white",,139.00SAR,SAR299.00,53% OFF
Nikai steam iron 2200 W - white/blue,,98.00SAR,SAR120.00,18% OFF
"Kenwood chopper, 400W, 0.8L Capacity, 2 Speeds, OWCHP40.000WH",,115.99SAR,SAR169.00,31% OFF
Toshiba ‎MW-MM20PB Microwave Oven White 20L,,249.00SAR,SAR399.00,37% OFF
My Choice FHM-176 Hand Mixer 200W,,55.00SAR,SAR79.00,30% OFF
Philips blender hr2041/30,,170.00SAR,SAR200.00,15% OFF
"Philips Daily Collection ProMix Handblender, 650W, HR2531/01, White",,159.00SAR,,
"Arrow Borosilicate Glass 1500W Electric Kettle, Ro-18Lktg",,66.00SAR,SAR79.00,16% OFF
"Admiral 25 Liters Solo Microwave With Grill, ADMW25WSWQ (2 Years Warranty)",,348.00SAR,SAR999.00,65% OFF
Daewoo juice extractor 400w dje-5656,,189.00SAR,,
Nikai NAFO12 Air Fryer Oven Black 12L,,299.00SAR,SAR359.00,16% OFF
First1 electric single hot plate fhp-10,,79.00SAR,SAR119.00,33% OFF
Tefal steam iron 1800 W FV1734M0,,139.00SAR,SAR209.00,33% OFF
"Philips air fryer XL 1.2kg, 6.2l capacity, digital screen, black, HD9270/90",,749.00SAR,,
Nikai NMO515N8N Auto Menu Function Microwave White 700W 20L,,199.00SAR,SAR319.00,37% OFF
Tefal EY201827 Oil Less Classique Large Easy Fryer 4.2L,,359.00SAR,SAR509.00,29% OFF
"DLC Hand Blender 200W 302, Black",,77.00SAR,SAR129.00,40% OFF
Moulinex AT711161 Multi Moulinette Mini Chopper 400W 500ml,,159.00SAR,SAR249.00,36% OFF
"Philips Kettle Stainless Steel, Spring lid, Light indicator, Cordless, 1.7 L, 2200W, HD9350, Silver",,140.00SAR,SAR169.00,17% OFF
Tefal GC241D28 Inicio Panini Grill Maker 2000W,,243.00SAR,SAR390.00,37% OFF
Generic Electric Blender With Juicer Cup Tag84 -Green/Clear,,49.00SAR,SAR59.00,16% OFF
Daewoo 3 in 1 blender 400w dbl-853gc,,189.00SAR,,
"MyChoice Breakfast Maker 3 In 1 Multi-Functional Breakfast Maker, Non-Stick Griddle, Oven Tray, Coffee Maker",,149.00SAR,SAR199.00,25% OFF
"Philips Garment Steamer, 1600W, GC482/26",,289.00SAR,SAR339.00,14% OFF
"Nikai Steam Iron, 1600W, NSI858A",,49.00SAR,SAR55.00,10% OFF
Black & Decker Citrus Juicer 25W CJ675-B5,,79.00SAR,SAR119.00,33% OFF
"Arrow Electric Kettle 1.8 Ltr 1500W, Ro-18Lkt",,54.00SAR,SAR89.00,39% OFF
Nikai NVC2302 Vacuum Cleaner White/Red 1400W,,119.00SAR,SAR175.00,32% OFF
Black & Decker AF150-B5 Manual Control Aerofry Black 3.5L,,349.00SAR,SAR459.00,23% OFF
Philips steam iron dst3011/26,,240.00SAR,SAR300.00,20% OFF
Nikai Dry Iron White 1200W,,30.00SAR,SAR49.00,38% OFF
"Dlc Sandwich Maker 750 Watts, Dlc-600",,68.00SAR,SAR199.00,65% OFF
"Kenwood 2 Slices Toaster, OWTCM01.A0BK",,149.00SAR,SAR229.00,34% OFF
Moulinex Frutelia Plus Juice Extractor White 350W,,188.00SAR,SAR199.00,5% OFF
Daewoo steam iron 2200w dawdsi-9225,,159.00SAR,SAR175.00,9% OFF
My Choice MBL 618 Blender 300W 1.5L,,89.00SAR,SAR145.00,38% OFF
Moulinex ME682827 Meat Mincer 2000W,,496.00SAR,SAR569.00,12% OFF
Nikai NVC990T Vacuum Cleaner Red 1400W 17L,,149.00SAR,SAR259.00,42% OFF
"Kenwood Chopper, 400W, OWCHP40.000WH, White",,95.00SAR,SAR169.00,43% OFF
"Arrow 2 Litre Glass Bowl Chopper 500W With Stainless Steel Double Blade, Ro-Fpw02L1, White",,123.00SAR,SAR159.00,22% OFF
"DLC Steam Iron 1500 Watt, Multi Color",,110.00SAR,SAR199.00,44% OFF
"Kenwood food processor 2 in 1, 2L, 750W, OWFDP03.C0WH, White",,299.00SAR,SAR420.00,28% OFF
"Geepas GAF37516 Air Fryer 1.8L - Overheat Protection, LED On-Off Lights, 30 Minutes Timer, Rapid Air Circulation, Non Stick Detachable Basket, Temperature & Timer Control",,169.00SAR,SAR202.80,16% OFF
"Admiral Solo Microwave, 20 Liters Capacity, White",,249.00SAR,SAR499.00,50% OFF
"Home Master Kitchen Appliance, Electric Blade Grinders, Hm-260",,92.00SAR,SAR98.00,6% OFF
"MyChoice Stand Fan 16"", With Remote Control",,125.00SAR,SAR155.00,19% OFF
Black & Decker FX400BMG-B5 Food Processor With Blender Mincer And Grinder White/Black 400W,,259.00SAR,SAR349.00,25% OFF
"ATC rice cooker 1.8 L, 700 W - white",,80.00SAR,SAR119.00,32% OFF
Geepas heavy iron 1200 W - white,,64.00SAR,SAR76.80,16% OFF
"Dots Electric Blender, 400 Watts, BLD-2028",,83.00SAR,SAR139.00,40% OFF
"Ariete 1.5-Litres Multi-Function Kitchen Machine, Model No 1596/1",,399.00SAR,SAR799.00,50% OFF
