Product Name,Product Details,Price,Actual Price,Discount Percentage
ITL LED Smart TV 65 Inch UHD,,"1,499.00SAR","SAR2,499.00",40% OFF
"ITL LED, 50 Inch, Smart, UHD, YZ-50LS",,999.00SAR,"SAR1,499.00",33% OFF
"ITL LED Smart TV, 55 inch, UHD",,"1,099.00SAR","SAR1,699.00",35% OFF
"Nikai, LED TV, 58inch, UHD Smart 4K, UHD60SLED",,"1,899.00SAR",,
"Nikai, LED TV, 50inch, Smart 4K UHD UHD50SLED2",,949.00SAR,"SAR1,499.00",36% OFF
TCL 65 Inch 4K LED TV 65T635,,"2,099.00SAR","SAR2,999.00",30% OFF
Itl Smart Tv Led 32 Yz-32l,,499.00SAR,SAR649.00,23% OFF
"ITL led smart, 43 inch, full HD, YZ-43LS",,749.00SAR,"SAR1,199.00",37% OFF
Skyworth QLED TV 4K 50'' - 50SUE9500,,"1,399.00SAR","SAR2,699.00",48% OFF
"Sony LED 55Inch, 4K, HDR TV, KD-55X75AK",,"3,999.00SAR",,
"Nikai LED TV, 65, smart 4K, UHD65SLED",,"1,499.00SAR","SAR2,499.00",40% OFF
"TCL Smart LED TV 50inch 4K, 50T635",,"1,299.00SAR","SAR1,499.00",13% OFF
"Samsung 65 Inch TV, QLED 4K, Quantum HDR 12X, Dolby Atmos, Audio Smart Hub With 4 Speakers And In-Built Woofer, Direct Full Array, QA65Q80BAUXSA, 2022, Carbon Silver",,"6,499.00SAR","SAR12,999.00",50% OFF
"Admiral 43 Inch Full HD LED Smart TV, USB 2, HDMI 3, Android 11, ADL43FMSACP",,599.00SAR,"SAR2,499.00",76% OFF
"Samsung 75 Inch TV, QLED UHD, 8K AI Upscale Quantum Processor, 8K Quantum HDR, 32X Full Array, 16X PQI 4900, Ultimate 8K Dimming, Bixby Ambient Mode Game Mode, QA75QN900AUXUM (2021)",,"39,999.00SAR",,
"TCL QLED TV, 55 Inch, 55C635",,"1,899.00SAR","SAR2,899.00",34% OFF
Toshiba smart led 55'' 55u5069ee 4k,,"1,589.00SAR","SAR2,100.00",24% OFF
"TCL 32 Inch LED TV, D310 Series, 32D310 (Installation Not Included)",,450.00SAR,SAR790.00,43% OFF
"Samsung 58 Inch TV UHD 4K Processor, Slim Look, PQI 2000, HDR 10+, Mega Contrast UHD Dimming Pur Color, Built In Receiver, UA58AU7000UXUM, 2021 Model (Installation Not Included)",,"1,999.00SAR","SAR4,999.00",60% OFF
"Samsung 55 Inch TV, Crystal UHD 4K, HDR 10+, Dynamic Crystal Color, Object Tracking, Sound Lite Smart Hub With 2 Speakers, LCD LED, UA55BU8000UXSA, 2022, Black",,"1,799.00SAR","SAR4,999.00",64% OFF
NIKAI NTV327 K LED TV Black 32inch,,299.00SAR,SAR499.00,40% OFF
MyChoice HDMI Cable Black 1.8m,,15.00SAR,SAR20.00,25% OFF
TCL 55T615 4K Ultra HD Smart Certified Android LED TV 55inch,,"1,599.00SAR","SAR1,789.00",10% OFF
Nikai 50 Inch UHD LED Smart TV Platinum Series With WEBOS Operating System + Magic Remote NIK50MEU4STN Grey,,"1,149.00SAR","SAR1,299.00",11% OFF
Nikai UHD55SLEDT 4K Ultra UHD Smart LED TV Grey 55inch,,"1,149.00SAR","SAR1,899.00",39% OFF
"TOSHIBA LED, 43 inch, smart, 43L5995EE",,"1,149.00SAR","SAR1,350.00",14% OFF
"Geepas 40"" Smart LED TV, TV With Remote Control, GLED4058SXHD, HDMI & USB Ports, Head Phone Jack, Pc Audio In, Wi-Fi, Android 9.0 With E-Share, Youtube, Netflix, Amazon Prime",,979.00SAR,"SAR1,174.80",16% OFF
"Gloria, LED TV, 32inch, Smart HD",,649.00SAR,SAR710.00,8% OFF
Arrow Hi Series Vidaa OS 2K Smart LED TV RO-32LHS,,645.00SAR,SAR755.00,14% OFF
Skyworth 55 Inch TV Google Android UHD 4K Smart - 55SUC9300,,"1,399.00SAR","SAR2,199.00",36% OFF
Nikai led 58 uhd 4k smart uhd60svdle,,"1,249.00SAR","SAR1,999.00",37% OFF
"Skyworth 65"" 4K UHD Smart Google TV LED, 65SUE9350F",,"1,799.00SAR","SAR2,999.00",40% OFF
"TCL 50 Inch, 4K UHD Smart Google TV With Built-In Chromecast And Google Assistance, Hands-free Voice Control, Dolby Audio, HDR10 Micro Dimming Technology, Edgeless Design, 50P635, Black",,"1,399.00SAR","SAR1,499.00",6% OFF
"Samsung Series, AU7000, 65-Inch, UHD Smart LED TV (UA65AU7000)",,"2,049.00SAR","SAR5,999.00",65% OFF
GVC Pro WebOS TV 4K 55 Inch,,"1,439.00SAR",,
"Konka 32 Inch HD LED Standard TV, KE32MS314",,398.00SAR,SAR999.00,60% OFF
"Hisense Smart TV, 50 Inches, 4K UHD, HDR 10/HLG, 50A6G, WiFi 2.4Ghz, Bluetooth 5.0, 2021 Model",,"1,279.00SAR","SAR2,799.00",54% OFF
"Konka 32 Inch HD Smart TV, KDG32RR672ANT",,499.00SAR,"SAR1,399.00",64% OFF
Skyworth led 32 an11/hd tv std6500,,785.00SAR,,
Skyworth 50 Inch TV Google Android UHD 4K Smart - 50SUC9300,,"1,199.00SAR","SAR1,799.00",33% OFF
"Samsung 43 Inch TV, Crystal UHD 4K, HDR 10+, Dynamic Crystal Color, Object Tracking, Sound Lite Smart Hub With 2 Speakers, LCD LED, UA43BU8000UXSA, 2022, Black",,"1,899.00SAR","SAR3,799.00",50% OFF
"Admiral 65 Inch 4K UHD LED Smart TV, HDR 10, USB 2, HDMI 3, Android 11, ADL65UMSACP",,"1,499.00SAR","SAR3,999.00",62% OFF
"Skyworth 55SUC9300, 55” Google Android UHD 4K Smart TV",,"1,399.00SAR","SAR2,999.00",53% OFF
Gvc Pro Smart TV 4K 58 Inch - LD-58TVUS,,"1,402.00SAR","SAR1,699.00",17% OFF
"SKYWORTH LED TV, 70 inch, SMART, 70SUC9350F",,"2,299.00SAR","SAR3,999.00",42% OFF
"Panasonic LED TV, 65 inch, 4K, TH-65HX750M",,"3,299.00SAR",,
"Admiral 50 Inch 4K UHD LED Smart TV, HDR 10, USB 2, HDMI 3, Android 11, ADL50UMSACP",,999.00SAR,"SAR2,499.00",60% OFF
Emdico fixed wall bracket (VAN32-70) for TVs of 32 inches to 70 inches,,59.00SAR,,
"Admiral 75 Inch 4K UHD LED Smart TV, HDR 10, USB 2, HDMI 3, Android 11, ADL75UMSACP",,"2,399.00SAR","SAR5,999.00",60% OFF
"Nikai Led TV, 55inch, UHD, Smart, NIK55MEU4STN",,"1,299.00SAR","SAR2,099.00",38% OFF
"Samsung 65 Inch TV, Crystal UHD 4K, HDR 10+, Dynamic Crystal Color, Object Tracking, Sound Lite Smart Hub With 2 Speakers, LCD LED, UA65BU8000UXSA, 2022, Black",,"3,099.00SAR","SAR5,799.00",46% OFF
"Hisense Smart Google TV, 85 Inches, LED 4K UHD, Class A7 Series",,"4,699.00SAR","SAR8,499.00",44% OFF
"ATC 55-Inch 4K Smart LED TV, ViddaOS System",,"1,195.00SAR","SAR1,499.00",20% OFF
Toshiba smart led 50 50U5069EE 4 K,,"1,799.00SAR",,
"Skyworth 65SUC9300, 65” Google Android UHD 4K Smart TV",,"1,799.00SAR","SAR3,999.00",55% OFF
Gvc Pro FHD LD-55TVS Smart TV (55In),,"1,310.00SAR","SAR1,899.00",31% OFF
"NIKAI LED 85 inch, UHD SMART, NIK85MEU4STN",,"4,299.00SAR","SAR6,999.00",38% OFF
"Arrqw 65 Inch 4K Smart LED TV, RO-65LEG (Installation Not Included)",,"1,849.00SAR","SAR2,149.00",13% OFF
"TCL 50 Inch TV QLED 4K HDR Dolby Vision, Google MEMC, 60Hz Processor, HDMI 2.1, 50C635, 2022 Model (Installation Not Included)",,"1,729.00SAR","SAR1,949.00",11% OFF
Emdico Wall Bracket VAN26-63,,49.00SAR,,
"Skyworth 75 Inch TV, 4K, UHD, HDR Smart Android 10.0, LED TV - 75SUD9350F",,"2,799.00SAR","SAR5,999.00",53% OFF
"Hisense 4K UHD TV, 65 Inches, 65A6GS, VIDAA U4.0 Game Mode, DTS Studio Sound, AI Upscaling, Bezelless Design, 2022 Model",,"1,699.00SAR","SAR3,999.00",57% OFF
"Panasonic LED TV, 55 inch, 4k, TH-55HX750M",,"2,699.00SAR",,
"Sharp, 60 Inch, 4K HDR Smart, LED TV, 4T-C60CK1X, 60Hz",,"2,999.00SAR",,
"Arrqw 65 Inch TV 4K UHD Smart DLED TV, Ro-65LKA",,"1,801.00SAR","SAR1,999.00",9% OFF
"Skyworth 70SUE9350F, 70"", 4K, UHD, Smart Google TV LED",,"2,299.00SAR","SAR4,599.00",50% OFF
"Skyworth 32 Inch Smart TV Coolita OS, 32STD4000",,499.00SAR,SAR999.00,50% OFF
"Hisense UHD 4K TV, 75 Inches, 75A7H",,"2,999.00SAR","SAR5,599.00",46% OFF
"Hisense 4K UHD TV, 58 Inches, 58A6GS, VIDAA U4.0 Game Mode, DTS Studio Sound, AI Upscaling, Bezelless Design, 2022 Model",,"1,499.00SAR","SAR2,999.00",50% OFF
Nikai NIK75MEU4STN 4K Ultra HD Smart TV 75inch,,"2,799.00SAR","SAR4,999.00",44% OFF
HP High Speed HDMI Cable Black 1.5m,,29.00SAR,,
HP High Speed HDMI Cable Black 3m,,49.00SAR,,
"Konka 85 Inch 4K UHD LED Smart TV, Quad Core, HDR10, HDMI, USB, UDE85NR316ANTS",,"4,299.00SAR","SAR10,999.00",60% OFF
"Skyworth 43 Inch FHD Smart TV Coolita OS, 43STD4000",,799.00SAR,"SAR1,599.00",50% OFF
Sony Smart Tv Kd-55x75k 4k HDR,,"2,799.00SAR",,
