Price,Product Name v2,Discounted Price
5.50SAR,Nada greek Yoghurt Plain 160g,
6.00SAR,Nada Strawberry Protein Milk 320ml,
18.95SAR|SAR21.95,Alwatania Poultry Fresh White Eggs Medium Large Size 30 Eggs,SAR21.95
2.00SAR,Almarai Plain Full Fat Yogurt 170g,
23.95SAR|SAR40.95,Puck Cream Analogue Cheese Spread 500g × 2 Pieces,SAR40.95
24.95SAR,Hana Large Fresh Eggs 30 Eggs,
4.00SAR,Almarai Breakfast Cream 100g,
12.00SAR,Almarai Plain Full Fat Yoghurt 170g Pack of 6,
11.00SAR,Almarai Full Fat Fresh Milk 2L,
28.95SAR,Almarai Cooking Cream 1L,
8.49SAR|SAR12.49,Egyptian Old Roumy Cheese,SAR12.49
7.25SAR,Almarai Unsalted Butter 125g,
10.25SAR,Almarai Full Cream Feta Cheese 400g,
2.24SAR|SAR4.24,Unsalted Butter Bland (Per Kg),SAR4.24
2.00SAR,Almarai Full Fat Fresh Laban With Added Vitamins 180ml,
5.95SAR,Almarai UHT Milk Full Fat Vit Milk 1L,
10.95SAR,Almarai Fresh Full Fat Laban 2L,
27.95SAR|SAR42.95,President Shredded Mozzarella 900g,SAR42.95
14.50SAR,Almarai Full Fat Fresh Milk 2.85L,
38.95SAR,"Kiri Spreadable Cream Cheese Squares, 12 Portions × 3 Packs, 36 Portions, 648g",
14.95SAR|SAR22.95,Rahima Large White Eggs 30 Pieces,SAR22.95
10.11SAR,The Three Cows Mozzarella Cheese,
11.95SAR|SAR20.95,"Kiri Cheese, 500g Jar",SAR20.95
43.05SAR,Kiri Spreadable Cream Cheese Squares 24 portions x 2 packs 48 portions 800g,
11.95SAR|SAR12.95,Saha White Eggs Medium × 15 Pieces,SAR12.95
62.95SAR,Puck White Cream Cheese (Analogue) 900g × 2,
16.50SAR,Almarai Uht Cooking Cream 500ml,
77.95SAR,Saudia Long Life Full Fat Milk 1L × 12 Pieces,
22.95SAR|SAR26.95,Puck Cooking Cream 1L,SAR26.95
19.95SAR,Almarai Cream Cheese 432g × 24 Portions,
6.50SAR,Saudia Long Life Full Fat Milk 1L,
20.35SAR|SAR21.75,Rahima Large Egg 60 Or 70g × 30 Pieces,SAR21.75
2.74SAR|SAR5.99,Istanbolli Cheese,SAR5.99
3.50SAR,Almarai Full Cream Fresh Yoghurt 500g,
14.95SAR,Almarai Full Fat Fresh Yoghurt 2kg,
1.95SAR,Almarai Strawberry Fresh Yoghurt 150g,
20.50SAR,Almarai Natural Butter Unsalted 100g × 3 Pieces,
51.95SAR|SAR70.95,Nada Long Life Full Fat Milk 1L× 12 Pieces,SAR70.95
14.50SAR,Almarai Full Fat Fresh Laban 2.85L,
2.00SAR,Nadec Fresh Yoghurt Full Cream 170g,
2.00SAR,Almarai Plain Low Fat Yogurt 170g,
2.74SAR|SAR5.99,Baramili Cheese (Per Kg),SAR5.99
21.50SAR,Almarai Low Fat Cheese Slices 400g × 20 Slices,
8.15SAR,Almarai Full Fat Plain Yoghurt 1kg,
9.95SAR,President Shredded Mozzarella Cheese 200g,
6.00SAR,Almarai Full Fat Fresh Laban 1L,
12.22SAR,Astra Halloumi Cheese,
4.49SAR|SAR7.49,Egyptian Areesh Cheese,SAR7.49
31.95SAR|SAR54.95,Puck Shredded Mozzarella Analogue Cheese 900g,SAR54.95
14.95SAR,Forsana Shredded Analogue Chees  Mozarella 200g2Pieces,
5.95SAR,Nadec Full Fat Long Life Milk 1L,
26.75SAR,Almarai Long Life Nijoom Chocolate Flavored Milk 150ml × 18 Pieces,
13.95SAR,President Turkish Labneh Cheese 275g,
9.50SAR,Nadec Full Fat Milk 1.75L,
7.46SAR,Altayeb White Cheese Low Salt (Per Kg),
12.00SAR,Nadec Fresh Yoghurt Full Cream 170g × 6,
12.00SAR,Almarai Low Fat Plain Yoghurt 170g Pack of 6,
2.74SAR|SAR5.49,Analogue Feta Cheese Egypt,SAR5.49
22.95SAR,Nada Milk Long Life Chocolate Flavored 125ml x 18Pieces,
46.95SAR,The Three Cows Mozzarella Cheese Shredded 1Kg,
5.50SAR,Nada greek Yoghurt Plain 160g,
6.00SAR,Nada Strawberry Protein Milk 320ml,
18.95SAR|SAR21.95,Alwatania Poultry Fresh White Eggs Medium Large Size 30 Eggs,SAR21.95
2.00SAR,Almarai Plain Full Fat Yogurt 170g,
23.95SAR|SAR40.95,Puck Cream Analogue Cheese Spread 500g × 2 Pieces,SAR40.95
24.95SAR,Hana Large Fresh Eggs 30 Eggs,
4.00SAR,Almarai Breakfast Cream 100g,
12.00SAR,Almarai Plain Full Fat Yoghurt 170g Pack of 6,
11.00SAR,Almarai Full Fat Fresh Milk 2L,
28.95SAR,Almarai Cooking Cream 1L,
8.49SAR|SAR12.49,Egyptian Old Roumy Cheese,SAR12.49
7.25SAR,Almarai Unsalted Butter 125g,
10.25SAR,Almarai Full Cream Feta Cheese 400g,
2.24SAR|SAR4.24,Unsalted Butter Bland (Per Kg),SAR4.24
2.00SAR,Almarai Full Fat Fresh Laban With Added Vitamins 180ml,
5.95SAR,Almarai UHT Milk Full Fat Vit Milk 1L,
10.95SAR,Almarai Fresh Full Fat Laban 2L,
27.95SAR|SAR42.95,President Shredded Mozzarella 900g,SAR42.95
14.50SAR,Almarai Full Fat Fresh Milk 2.85L,
38.95SAR,"Kiri Spreadable Cream Cheese Squares, 12 Portions × 3 Packs, 36 Portions, 648g",
14.95SAR|SAR22.95,Rahima Large White Eggs 30 Pieces,SAR22.95
10.11SAR,The Three Cows Mozzarella Cheese,
11.95SAR|SAR20.95,"Kiri Cheese, 500g Jar",SAR20.95
43.05SAR,Kiri Spreadable Cream Cheese Squares 24 portions x 2 packs 48 portions 800g,
11.95SAR|SAR12.95,Saha White Eggs Medium × 15 Pieces,SAR12.95
62.95SAR,Puck White Cream Cheese (Analogue) 900g × 2,
16.50SAR,Almarai Uht Cooking Cream 500ml,
77.95SAR,Saudia Long Life Full Fat Milk 1L × 12 Pieces,
22.95SAR|SAR26.95,Puck Cooking Cream 1L,SAR26.95
19.95SAR,Almarai Cream Cheese 432g × 24 Portions,
6.50SAR,Saudia Long Life Full Fat Milk 1L,
20.35SAR|SAR21.75,Rahima Large Egg 60 Or 70g × 30 Pieces,SAR21.75
2.74SAR|SAR5.99,Istanbolli Cheese,SAR5.99
3.50SAR,Almarai Full Cream Fresh Yoghurt 500g,
14.95SAR,Almarai Full Fat Fresh Yoghurt 2kg,
1.95SAR,Almarai Strawberry Fresh Yoghurt 150g,
20.50SAR,Almarai Natural Butter Unsalted 100g × 3 Pieces,
51.95SAR|SAR70.95,Nada Long Life Full Fat Milk 1L× 12 Pieces,SAR70.95
14.50SAR,Almarai Full Fat Fresh Laban 2.85L,
2.00SAR,Nadec Fresh Yoghurt Full Cream 170g,
2.00SAR,Almarai Plain Low Fat Yogurt 170g,
2.74SAR|SAR5.99,Baramili Cheese (Per Kg),SAR5.99
21.50SAR,Almarai Low Fat Cheese Slices 400g × 20 Slices,
8.15SAR,Almarai Full Fat Plain Yoghurt 1kg,
9.95SAR,President Shredded Mozzarella Cheese 200g,
6.00SAR,Almarai Full Fat Fresh Laban 1L,
12.22SAR,Astra Halloumi Cheese,
4.49SAR|SAR7.49,Egyptian Areesh Cheese,SAR7.49
31.95SAR|SAR54.95,Puck Shredded Mozzarella Analogue Cheese 900g,SAR54.95
14.95SAR,Forsana Shredded Analogue Chees  Mozarella 200g2Pieces,
5.95SAR,Nadec Full Fat Long Life Milk 1L,
26.75SAR,Almarai Long Life Nijoom Chocolate Flavored Milk 150ml × 18 Pieces,
13.95SAR,President Turkish Labneh Cheese 275g,
9.50SAR,Nadec Full Fat Milk 1.75L,
7.46SAR,Altayeb White Cheese Low Salt (Per Kg),
12.00SAR,Nadec Fresh Yoghurt Full Cream 170g × 6,
12.00SAR,Almarai Low Fat Plain Yoghurt 170g Pack of 6,
2.74SAR|SAR5.49,Analogue Feta Cheese Egypt,SAR5.49
22.95SAR,Nada Milk Long Life Chocolate Flavored 125ml x 18Pieces,
46.95SAR,The Three Cows Mozzarella Cheese Shredded 1Kg,
5.50SAR,Nada greek Yoghurt Plain 160g,
6.00SAR,Nada Strawberry Protein Milk 320ml,
18.95SAR|SAR21.95,Alwatania Poultry Fresh White Eggs Medium Large Size 30 Eggs,SAR21.95
2.00SAR,Almarai Plain Full Fat Yogurt 170g,
23.95SAR|SAR40.95,Puck Cream Analogue Cheese Spread 500g × 2 Pieces,SAR40.95
24.95SAR,Hana Large Fresh Eggs 30 Eggs,
4.00SAR,Almarai Breakfast Cream 100g,
12.00SAR,Almarai Plain Full Fat Yoghurt 170g Pack of 6,
11.00SAR,Almarai Full Fat Fresh Milk 2L,
28.95SAR,Almarai Cooking Cream 1L,
8.49SAR|SAR12.49,Egyptian Old Roumy Cheese,SAR12.49
7.25SAR,Almarai Unsalted Butter 125g,
10.25SAR,Almarai Full Cream Feta Cheese 400g,
2.24SAR|SAR4.24,Unsalted Butter Bland (Per Kg),SAR4.24
2.00SAR,Almarai Full Fat Fresh Laban With Added Vitamins 180ml,
5.95SAR,Almarai UHT Milk Full Fat Vit Milk 1L,
10.95SAR,Almarai Fresh Full Fat Laban 2L,
27.95SAR|SAR42.95,President Shredded Mozzarella 900g,SAR42.95
14.50SAR,Almarai Full Fat Fresh Milk 2.85L,
