Product Name,Product Details,Price,Actual Price,Discount Percentage
Banana Delmonte,500g - Approx 7 pieces per KG,1.98SAR,SAR2.45,19% OFF
Cucumber,500g - Approx 10 pieces per KG,1.45SAR,SAR2.45,40% OFF
Potato Fresh,500g - Approx 7 pieces per KG,1.95SAR,,
Tomato,500g - Approx 7 pieces per KG,1.75SAR,SAR1.95,10% OFF
Onion Red,500g - Approx 10 pieces per KG,1.25SAR,SAR1.48,15% OFF
Lemon,500g - Approx 6 pieces per KG,2.48SAR,SAR3.95,37% OFF
Fresh Saudi Carrot,500g - Approx 7 pieces per KG,1.98SAR,SAR2.45,19% OFF
Fresh Green Capsicum,500g - Approx 5 pieces per KG,3.45SAR,,
Selected Tomato,500g - Approx 6 pieces per KG,1.98SAR,,
Lettuce Romaine,500g - Approx 2 pieces per KG,2.98SAR,,
Royal gala Apple,500g - Approx 6 pieces per KG,3.95SAR,,
Zucchini,500g - Approx 9 pieces per KG,2.25SAR,SAR3.48,35% OFF
Big Eggplant,500g - Approx 6 pieces per KG,2.95SAR,,
Mandarin,500g - Approx 9 pieces per KG,5.97SAR,,
Iceberg Lettuce,500g - Approx 1 piece per KG,2.98SAR,SAR3.48,14% OFF
Banana Sharbatly,500g - Approx 7 pieces per KG,2.95SAR,,
Valencia Orange For Juice,1KG - Approx 3 pieces per KG,3.90SAR,,
Grapes White Seedless,500g - Approx 2 pieces per KG,3.48SAR,SAR4.97,30% OFF
Fresh Parsley Local,,1.25SAR,,
"Blueberry Punnet, Approx 125g",,5.95SAR,SAR7.95,25% OFF
Fresh Red Capsicum,500g - Approx 9 pieces per KG,3.45SAR,SAR4.47,22% OFF
Red Apple,500g - Approx 6 pieces per KG,3.48SAR,SAR4.47,22% OFF
"Garlic Bag, Approx 350g",,3.45SAR,,
Kiwi Fresh,500g - Approx 10 pieces per KG,5.47SAR,,
Avocado,500g - Approx 5 pieces per KG,4.45SAR,,
Green Chili,250g - Approx 71 pieces per KG,2.99SAR,,
Indian Red Onion,500g - Approx 6 pieces per KG,1.48SAR,,
Mango Tymor,500g - Approx 2 pieces per KG,12.47SAR,,
Fresh White Cabbage,1KG - Approx 1 piece per KG,3.50SAR,,
Fresh Cauliflower,500g - Approx 1 piece per KG,4.97SAR,,
White Onion,500g - Approx 6 pieces per KG,2.48SAR,,
Green Apple (Granny Smith),500g - Approx 6 pieces per KG,3.98SAR,SAR4.47,11% OFF
Banana Delmonte,500g - Approx 7 pieces per KG,1.98SAR,SAR2.45,19% OFF
Cucumber,500g - Approx 10 pieces per KG,1.45SAR,SAR2.45,40% OFF
Potato Fresh,500g - Approx 7 pieces per KG,1.95SAR,,
Tomato,500g - Approx 7 pieces per KG,1.75SAR,SAR1.95,10% OFF
Onion Red,500g - Approx 10 pieces per KG,1.25SAR,SAR1.48,15% OFF
Lemon,500g - Approx 6 pieces per KG,2.48SAR,SAR3.95,37% OFF
Fresh Saudi Carrot,500g - Approx 7 pieces per KG,1.98SAR,SAR2.45,19% OFF
Fresh Green Capsicum,500g - Approx 5 pieces per KG,3.45SAR,,
Selected Tomato,500g - Approx 6 pieces per KG,1.98SAR,,
Lettuce Romaine,500g - Approx 2 pieces per KG,2.98SAR,,
Royal gala Apple,500g - Approx 6 pieces per KG,3.95SAR,,
Zucchini,500g - Approx 9 pieces per KG,2.25SAR,SAR3.48,35% OFF
Big Eggplant,500g - Approx 6 pieces per KG,2.95SAR,,
Mandarin,500g - Approx 9 pieces per KG,5.97SAR,,
Iceberg Lettuce,500g - Approx 1 piece per KG,2.98SAR,SAR3.48,14% OFF
Banana Sharbatly,500g - Approx 7 pieces per KG,2.95SAR,,
Valencia Orange For Juice,1KG - Approx 3 pieces per KG,3.90SAR,,
Grapes White Seedless,500g - Approx 2 pieces per KG,3.48SAR,SAR4.97,30% OFF
Fresh Parsley Local,,1.25SAR,,
"Blueberry Punnet, Approx 125g",,5.95SAR,SAR7.95,25% OFF
Fresh Red Capsicum,500g - Approx 9 pieces per KG,3.45SAR,SAR4.47,22% OFF
Red Apple,500g - Approx 6 pieces per KG,3.48SAR,SAR4.47,22% OFF
"Garlic Bag, Approx 350g",,3.45SAR,,
Kiwi Fresh,500g - Approx 10 pieces per KG,5.47SAR,,
Avocado,500g - Approx 5 pieces per KG,4.45SAR,,
Green Chili,250g - Approx 71 pieces per KG,2.99SAR,,
