Product Name,Product Details,Price,Actual Price,Discount Percentage
Brazilan Beef Mince Chilled,500g - Approx 1 piece per KG,13.45SAR,,
Alyoum Fresh Chicken Breast Fillet Chilled 450g,,17.95SAR,SAR22.75,21% OFF
Golden Chicken Fresh Chicken Breast Fillet 450g,,16.95SAR,SAR22.95,26% OFF
Tanmiah Fresh Boneless Chicken Breast 450g,,20.25SAR,SAR22.50,10% OFF
Entaj Fresh Chicken Breast Fillet 450g,,19.95SAR,SAR21.95,9% OFF
Alyoum Premium Fresh Chicken Chilled 1kg,,17.95SAR,SAR20.50,12% OFF
Tanmiah Fresh Chicken Mixed Portions 800g,,10.85SAR,SAR11.75,7% OFF
Entaj Fresh Whole Chicken 1000g,,18.45SAR,,
Brazilan Beef Cubes Chilled,500g - Approx 4 pieces per KG,12.95SAR,,
Entaj Mixed Chicken Portion 900g,,12.35SAR,SAR13.75,10% OFF
Golden Chicken Fresh Chicken Mixed Parts 900g,,10.95SAR,SAR16.65,34% OFF
Veal Boneless,500g - Approx 4 pieces per KG,30.93SAR,,
Tanmiah Fresh Chicken Bag 1kg,,18.35SAR,SAR19.75,7% OFF
Tanmiah Fresh Chicken Leg 450g,,9.05SAR,SAR10.15,10% OFF
Tanmiah Fresh Chicken Thighs 450g,,7.45SAR,SAR8.95,16% OFF
Tanmiah Fresh Chicken Liver 450g,,4.95SAR,SAR6.95,28% OFF
Tanmiah Fresh Chicken Bag 1100g,,19.10SAR,SAR20.25,5% OFF
AlYoum Premium Fresh Chicken Whole Legs 900g,,18.25SAR,SAR20.50,10% OFF
Tanmiah Fresh Chicken Drumstick 450g,,10.55SAR,SAR11.15,5% OFF
Tanmiah Fresh Chicken Wing 450G,,5.60SAR,SAR6.95,19% OFF
Alyoum Fresh Chicken Breast Fillet Chilled 900g,,41.80SAR,,
Tanmiah Fresh Minced Chicken 450g,,11.95SAR,SAR13.95,14% OFF
